start,end
风热感冒,咸鸭蛋
老年人胸腔积液与胸膜炎,白酒
肺动脉瓣关闭不全,鸡蛋黄
毛发囊肿,啤酒
小儿腹股沟斜疝,螃蟹
脓窠疮,小龙虾
垂体性矮小病,白酒
恙虫病性肺炎,红葡萄酒
阵发性室上性心动过速,鸡肝
内热,田螺
结节性硬化,红豆沙
肾囊肿,干腌菜
慢性髓细胞白血病,啤酒
儿童睡眠障碍,油豆腐
白发症,白酒
神经纤维肉瘤,白酒
目病,咸鸭蛋
自身免疫性肝病,松子仁
肠系膜血管缺血性疾病,鸭蛋
皮层性多汗症,啤酒
胃柿石,咖啡
泪液分泌过多,赤小豆
女性性早熟,淡菜(鲜)
原发性肝内硬化综合征,白扁豆
大网膜囊肿,啤酒
沙眼,腐竹
包皮炎,绿豆
手湿疹,螃蟹
便秘,核桃
白毛舌,辣椒(青、尖)
脑血吸虫病,白扁豆
光敏性皮炎,花椒
汽油、煤油中毒,南瓜子仁
产后痉症,咸鱼
盆腔积液,田螺
脱髓鞘,白酒
过敏性鼻炎,赤小豆
梅毒,赤小豆
自发性血胸,油豆腐
膈疝,白酒
红外线伤,赤小豆
小儿动脉瘤样骨囊肿,河蚌
脑缺血性疾病,田螺
心内膜炎,猪油（板油）
颈椎间盘突出症,绿豆
单纯性外阴阴道念珠菌病,咸鱼
下疳样脓皮病,啤酒
甲状腺功能亢进症的肾损害,白酒
特发性面神经瘫痪,红葡萄酒
上气道梗阻,白酒
小细胞低色素性贫血,辣椒(红、尖、干)
克罗恩病,白果（鲜）
错构瘤,杏仁
眼眶假瘤,腐竹
心脏钝性闭合伤,咸鸭蛋
小肠类癌,白酒
日光皮炎,淡菜(鲜)
结缔组织性肠炎,黑豆
上颌窦恶性肿瘤,田螺
急性闭角性青光眼,白酒
惊恐症,蜂蜜
软产道异常性难产,啤酒
无精症,鹿肉
皮肤子宫内膜异位症,白酒
慢性心力衰竭,咸鸭蛋
十二指肠溃疡,白扁豆
梭形细胞脂肪瘤,干腌菜
急性及亚急性脑内血肿,咸鸭蛋
先天性巨细胞包涵体病,淡菜(鲜)
男性乳腺癌,绿豆
皮炎芽生菌,河蚌
尿布疹,松子仁
寒湿困脾,青椒
急性卡他性结膜炎,鸭血(白鸭)
变异型心绞痛,白砂糖
小脑扁桃体疝,白酒
出血性脑梗死,黑豆
人格障碍,白扁豆
慢性荨麻疹,海虾
肾精亏虚,杏仁
皮肤松垂,干腌菜
Barrett食管,鸡肝
病毒性心肌炎,猪肉(肥瘦)
结肠瘘,南瓜子仁
皮肤过敏,杏仁
脊椎骨髓炎,白酒
色素性紫癜性苔藓样皮病,河蚌
畸形性骨炎,白酒
脑胶质瘤,沙丁鱼
血管性血友病,啤酒
白内障,腐竹
变形杆菌肺炎,杏仁
右束支传导阻滞,啤酒
软组织肿瘤,白酒
骶髂关节结核,油条
肠道传染病,鸭血(白鸭)
剥脱综合征,白酒
糖代谢异常伴发的精神障碍,鸭肝
汽油中毒,南瓜子仁
慢性皮肤粘膜念珠菌病,啤酒
妊娠合并白血病,螃蟹
手足心热,辣椒(红、尖、干)
妊娠合并肾病综合征,啤酒
小儿急性胆囊炎,杏仁
硬脑膜下血肿,白扁豆
血管网织细胞瘤,猪油（板油）
雷诺氏病,啤酒
婴儿肠痉挛,啤酒
猛兽伤,鸡肝
进行性色素性紫癜性皮病,鸡肝
慢性喉炎,咸鱼
蓖麻子中毒,白扁豆
乳泣,三文鱼
缺血性视盘病变,鸭血(白鸭)
小儿丁型病毒性肝炎,杏仁
牛痘,鸡蛋黄
残胃淋巴瘤,绿豆
咽部结核,鸡肝
强迫型人格障碍,鸭蛋
Brenneman综合征,鸡肝
尺骨下1/3骨折合并下尺桡关节脱位,腐竹
疥疮,白酒
痴呆,鸡肝
夏季皮炎,咸鸭蛋
躯体形式障碍,啤酒
胚胎遗留性囊肿,大葱
上皮样肉瘤,白酒
盆腔疾病,白酒
肥厚型梗阻性心肌病,啤酒
臭汗症,黑豆
胸腺癌,咸鱼
精囊炎,啤酒
牙科病,鸭肉
骨筋膜室综合症,白扁豆
猛兽伤,银鱼
病态窦房结综合征,白扁豆
弥漫性恶性间皮瘤,鸭血(白鸭)
巨细胞病毒性肺炎,绿豆
丁型病毒性肝炎,啤酒
多发性硬化伴发的葡萄膜炎,啤酒
急性气管支气管炎,白酒
原发性纵隔肿瘤,鹅肉
心脏瓣膜关闭不全,咸鱼
妊娠呕吐,啤酒
百日咳,螃蟹
窥阴癖,赤小豆
亚硝酸盐中毒,田螺
生长激素释放抑制素瘤,白扁豆
小儿烧伤,猪小排（猪肋排）
颅后窝室管膜瘤,猪脑
胆道出血,白扁豆
小儿红白血病,白扁豆
心房颤动,啤酒
热咳,辣椒(红、尖、干)
项痈,红葡萄酒
脾梗死,羊油
煤炭工尘肺,干腌菜
手指屈肌腱鞘炎,蛏子
小儿尿道下裂,白扁豆
阴茎异常勃起,田螺
雷凡斯坦综合征,田螺
洋葱假单胞菌肺炎,蜂蜜
神经系统结节病,河蚌
肺气虚,白酒
急性咽炎,绿豆
蟹睛,腐竹
阑尾肿瘤,鸡肝
视盘炎,螺丝菜
老年人支气管扩张,田螺
胆囊切除术后综合征,鸡心
先天性主动脉瓣窦动脉瘤破裂,啤酒
脐带脱垂,洋葱
小儿雄激素不敏感综合征,花生（炒）
楔状缺损,白酒
其他病毒肺炎,白酒
急性弥漫性腹膜炎,啤酒
股骨头骨折,绿豆
脾水,沙丁鱼
念珠菌性包皮龟头炎-测试,海蟹
亚硝酸盐中毒,鸭血(白鸭)
淀粉样变病,白扁豆
单纯性紫癜,白砂糖
地图舌,鸡肝
结膜干燥症,赤小豆
无排卵型功能失调性子宫出血,蛤蜊
慢性膀胱炎,咸鱼
胃肠道癌皮肤转移,白酒
妊娠合并肝硬化,江米酒
眩晕,咸鱼
心血管和血栓栓塞综合征,油豆腐
肠梗阻,田螺
肾囊肿,咸鸭蛋
中间型链球菌感染,白扁豆
桡骨茎突部狭窄性腱鞘炎,啤酒
直立性低血压,葵花子仁
C5功能不全综合征,啤酒
韧带炎,洋葱
暴泻,鳕鱼
锂肾病,虾米
甲沟炎,白酒
皮脂缺乏症,啤酒
膀胱憩室,羊油
噪声性耳聋,杏仁
金黄色葡萄球菌性肠炎,蒜苔
第五日综合征,白扁豆
乳头溢液,啤酒
先天性胸骨后膈疝,螃蟹
颅内海绵状血管瘤,田螺
结肠血管扩张症,腐竹
恐怖症,赤小豆
子宫切除术后会阴疝,黑豆
脐疝,白酒
放射性皮炎,白酒
镇痛剂肾病,咸鸭蛋
脉络膜炎,鸭血(白鸭)
小儿血栓性血小板减少性紫癜,白砂糖
眼眶平滑肌瘤,白酒
老年人肝性脑病,田螺
小儿铅中毒,螃蟹
颈部囊状淋巴管瘤,啤酒
弓形体脑病,虾米
喉刺伤,螃蟹
强酸类中毒,蚝豉
手足皲裂,杏仁
老年大便失禁,咸鸭蛋
闭合性气胸,啤酒
直肠膨出,红葡萄酒
慢性阑尾炎,啤酒
脑病,腐竹
亚急性感染性心内膜炎,杏仁
鼻咽癌的眼部病变,绿豆
狼疮性肾炎,黄酒
颅后窝室管膜瘤,猪肚
大肠腺瘤,啤酒
老年大便失禁,花生仁（炸）
鼻血管瘤,干腌菜
脊椎骨质增生,杏仁
呼吸道合胞病毒肺炎,海螺
姿态性腰腿痛,腐竹
动脉硬化,鸡肉
鼠疫,鳝鱼
小儿生殖细胞瘤,白砂糖
心室静止,白酒
前庭神经炎,鸭肝
第三腰椎横突综合征,白酒
高脂血症,鸡肝
鼻疽,咸鸭蛋
踝部骨折,草鱼
皮肌炎,鸭肝
先天性梅毒,红葡萄酒
勃起功能障碍,猪肚
肉瘤,啤酒
足外翻,鸭肉
周期性内斜视,鹅肉
急性感染性心内膜炎,腐竹
原发性心脏肿瘤,鹅肉
梭形细胞血管内皮细胞瘤,鸡肝
急性胃扩张,南瓜子仁
软骨瘤,啤酒
过敏性鼻炎,绿豆
药物过敏,白扁豆
骨关节炎,海蟹
小儿隐睾症,乌龟
尺骨鹰嘴骨折,腐竹
蚂蚁叮咬,咸鸭蛋
恶性营养不良病,核桃
高血压肾病,啤酒
多发性末梢神经炎,啤酒
枢椎齿状突骨折,腐竹
斑状萎缩,杏仁
风湿免疫病,大葱
阴道壁息肉,赤小豆
颞动脉炎,龙虾
鼻骨瘤,鸭血(白鸭)
男性生殖器外伤,啤酒
慢性肉芽肿病,白酒
老年人慢性肾功能衰竭,白酒
戒酒综合征,白酒
神经肽性肢端感觉异常,鸭血(白鸭)
复发性疱疹,白酒
主动脉瓣狭窄合并关闭不全,鸡肝
眶内海绵状血管瘤,鸭血(白鸭)
结核性膀胱自发破裂,田螺
距骨骨折脱位,栗子（熟）
毛霉病,猪油（板油）
小儿维生素D缺乏性手足搐搦症,白扁豆
咽后壁憩室,杏仁
产后精神病,赤小豆
阴盛阳衰症,蛤蜊
成骨不全,白酒
妊娠合并梅毒,鸭肉
小儿龋病,赤砂糖
动脉瘤,鸡肝
外阴皮肤脂溢性皮炎,咸鱼
玻璃纤维引起的皮肤病,鹿肉
脂肪栓塞综合征,鸭血(白鸭)
白秃疮,沙丁鱼
小儿肥胖,咸肉
小儿关节弯曲综合征,赤砂糖
阻塞性肺气肿,白扁豆
功能性消化不良,白扁豆
小儿肾小管性酸中毒,白酒
热带性口炎性腹泻,淡菜(鲜)
恶性组织细胞病,鸭血(白鸭)
小儿两性畸形,花生（炒）
食物过敏性哮喘,啤酒
小儿肥胖性生殖无能综合征,白扁豆
鼻疔,鳕鱼
过劳肥,猪肉(肥)
慢性胆囊炎,芝麻
生长期脱发,田螺
功血,鸭肉
阳痿,田螺
进行性肌营养不良症,鸡肝
胸主动脉夹层动脉瘤,杏仁
酸碱灼伤,松花蛋（鸭蛋）
青春期厌食症,啤酒
小儿肺栓塞,螃蟹
寻常性鱼鳞病,银鱼
老年急性动脉栓塞,鸡肝
产碱杆菌肺炎,黑豆
颈部纤维瘤,啤酒
脊神经根炎,河虾
急性化脓性乳突炎,赤小豆
肌张力障碍综合征,啤酒
小儿衣原体肺炎,白砂糖
脑膜炎球菌性脑膜炎,啤酒
青年性驼背,淡菜(鲜)
肉痉,海虾
老年人胃食管反流病,啤酒
颅内脊索瘤,田螺
早孕,螃蟹
泪腺多形性腺瘤,猪肚
软骨粘液样纤维瘤,干腌菜
荨麻疹和血管性水肿,啤酒
肢骨纹状肥大,泥胡菜
鞍上生殖细胞瘤,白酒
淋球菌性结膜炎,鲢鱼
成人呼吸窘迫综合征,辣椒(红、尖、干)
听神经瘤,鸭血(白鸭)
脑型血吸虫病,鸡蛋黄
咽喉烧伤及化学伤,白扁豆
膝关节退行性病变,洋葱
裂沟舌,鲤鱼
皮肤囊肿,螺丝菜
双眼上斜肌麻痹,螃蟹
急性结石性胆囊炎,芝麻
筋痹,沙丁鱼
PUVA雀斑样痣,啤酒
梭形细胞血管内皮细胞瘤,鸭肝
输尿管异位开口,杏仁
胆囊癌,杏仁
脑梗死,鸭肝
急性蜂窝组织炎,鸡肝
肾上腺皮质功能减退性心脏病,螃蟹
尿毒症性心肌病,干腌菜
跟骨骨髓炎,白酒
霍乱,田螺
包皮炎,白酒
神经发育迟滞,啤酒
先天性红细胞生成异常性贫血,鸡翅
阿尔茨海默病,白酒
平滑肌肉瘤,啤酒
垂体性矮小病,啤酒
老年性慢性硬膜下血肿,咸鸭蛋
躁狂抑郁症,田螺
副耳,白酒
毛发囊肿,白酒
甲状腺舌管囊肿与瘘,杏仁
甲状腺功能减退性心肌病,白酒
妊娠合并自身免疫性溶血性贫血,江米酒
耳结核,田螺
药物过敏性口炎,赤小豆
疖,白扁豆
精索恶性肿瘤,鸭血(白鸭)
心包肿瘤,杏仁
癫痫,干腌菜
神经系统遗传病,河蚌
肾虚腰痛,田螺
急性出血坏死型胰腺炎,白酒
黄斑囊样水肿,鸡肝
肾盂肾炎,鹿肉
瞀瘛,羊油
放射性口炎,海螺
小儿先天性斜颈,咸鱼
脑室炎,杏仁
社会获得性肺炎,蛏子
大网膜囊肿,白酒
扁桃体结石,啤酒
泪腺多形性腺瘤,猪脑
皮肤平滑肌瘤,河蚌
小肠肿瘤,干腌菜
呼吸道合胞病毒肺炎,海虾
恶寒发热,咸鱼
肾脏损伤,咸鸭蛋
神经性呕吐,啤酒
跟骨骨折,腐竹
小儿大动脉炎,海蜇头
精囊囊肿,田螺
晚期产后出血,蜂蜜
膈疝,啤酒
输卵管肿瘤,赤小豆
胰腺损伤,白酒
尿崩症,腐竹
真菌性心包炎,干腌菜
骨瘤,啤酒
病毒性肝炎,杏仁
慢性髓细胞白血病,白酒
热带口炎性腹泻,白酒
雪盲,白扁豆
心脏神经官能症,白酒
盆腔炎症性不孕症,小龙虾
眼内异物,赤小豆
晕厥,腐竹
紫癜,白酒
慢性胰腺炎,白果（鲜）
肠道蛔虫,猪小排（猪肋排）
骨与关节结核,啤酒
老年人甲减性心脏病,田螺
上气道梗阻,啤酒
遗传性肥胖,鸭肉
奥迪括约肌功能异常,白酒
嗜碱性粒细胞增多症,鸡
小儿慢性骨髓炎,螃蟹
脑性瘫痪,鹅肉
青光眼睫状体炎综合征,赤小豆
小儿部分性肺静脉异位连接,螃蟹
胆固醇脓胸,黑豆
葡萄糖-6-磷酸脱氢酶缺乏症,绿豆
损伤性休克,油豆腐
小儿期前收缩,田螺
霍奇金淋巴瘤,鸡蛋黄
慢性输卵管卵巢炎,赤小豆
分泌过多性青光眼,鹅肉
急性腐蚀性胃炎,南瓜子仁
皮肤子宫内膜异位症,啤酒
湄公血吸虫病,螃蟹
假性甲状旁腺功能减退症,杏仁
肠侵袭性大肠埃希杆菌感染,白酒
项痈,白酒
变应性皮肤血管炎,鸡蛋黄
产后精神病,黑豆
先天性肺发育不全,白酒
老年便秘,虾皮
输尿管结石,杏仁
小儿肺泡性蛋白沉积症,腐竹
小儿精神发育迟缓,咸鱼
软骨母细胞瘤,螺丝菜
下疳样脓皮病,白酒
钩虫病,啤酒
维生素C缺乏病,白扁豆
支原体感染,啤酒
骨的恶性纤维组织细胞瘤,鸭血(白鸭)
上睑下垂,白扁豆
胸内甲状腺肿,花生仁（炸）
股骨头骨折,白酒
表层巩膜炎,赤小豆
残胃淋巴瘤,白酒
气痢,沙丁鱼
活动盲肠综合征,栗子（熟）
淋巴管肉瘤,绿豆
三尖瓣闭锁不全,绿豆
肛乳头瘤,咖啡
胰胆汁综合征,咸鸭蛋
尿道憩室,干腌菜
呼吸道结核病,咖啡
先天性无转铁蛋白血症,田螺
完全流产,香菜
内湿,猪肚
孟氏骨折,咸鸭蛋
疥疮,啤酒
前列腺病,三文鱼
右束支传导阻滞,白酒
中暑,鸡肝
嗜麦芽黄单胞菌肺炎,白酒
尤文氏肉瘤,鸭血(白鸭)
乳发,沙丁鱼
血管性血友病,白酒
病毒性心肌炎,猪油（板油）
纯植物神经功能衰竭,杏仁
软组织肿瘤,啤酒
胆管结石与胆管炎,虾皮
淋巴癌,核桃
人工关节置换术后关节感染,田螺
小儿限制型心肌病,白砂糖
肺转移瘤,腐竹
软化斑,蜂蜜
脑萎,沙丁鱼
慢性皮肤粘膜念珠菌病,白酒
肾皮质髓质脓肿,腐竹
急性单纯外伤性腰腿痛,腐竹
囊虫病,啤酒
脑神经损伤,螃蟹
妊娠合并肾病综合征,白酒
口腔尖锐湿疣,白扁豆
视网膜色素上皮炎,杏仁
结肠类癌,白扁豆
输卵管妊娠破裂,田螺
小儿潮红综合征,螃蟹
小儿惊厥,咸鸭蛋
真菌性甲沟炎,松子仁
骨盆骨折,腐竹
小儿先天性肌强直综合征,白砂糖
肝胆湿热,鸡蛋
肾气不固,三文鱼
纤维肌痛症,腐竹
拇指再造,猪小排（猪肋排）
小儿单房性骨囊肿,羊肉(肥瘦)
麻黄碱中毒,猪肚
急性糜烂性胃炎,鸡肝
乙状结肠造口旁沟疝,啤酒
少年性椎体骨软骨病,螺丝菜
甲沟炎,啤酒
低血糖综合征,鹿肉
老年人低血糖症,鸭血(白鸭)
流产,猪肉(肥)
胃溃疡性穿孔,羊油
血管炎,白扁豆
血管内乳头状血管内皮细胞瘤,红葡萄酒
脆弱性骨硬化,草鱼
三高症,鸭血(白鸭)
小儿腓骨肌萎缩症,白扁豆
先天性厚甲症,啤酒
诺瓦克病毒性胃肠炎,螃蟹
髌腱断裂,虾皮
甲状旁腺功能减退症,白扁豆
盲肠阿米巴肉芽肿,鸭肉
绝经期尿路感染,鹿肉
筋痿,腐竹
唇癌,赤小豆
小儿亚急性甲状腺炎,白砂糖
急性根尖牙周炎,白酒
手足口病,鹿肉
肝结石,红辣椒
子宫内膜厚,赤小豆
直肠内套叠,鸡爪
毛发红糠疹,啤酒
贲门癌,银鱼
心律失常,银鱼
先天性肠旋转不良,鸭血(白鸭)
青少年牙周炎,螃蟹
水痘性角膜炎,螃蟹
梗阻性尿路疾病,啤酒
脊椎骨髓炎,啤酒
跟骨骨刺综合征,红葡萄酒
腹部创伤,白扁豆
室性并行心律及室性并行心律性心动过速,油豆腐
胫骨结节骨软骨病,面肥
慢性病贫血,杏仁
脾功能亢进症,白扁豆
胰腺结核,赤小豆
小儿尿石症,螃蟹
胃食管反流病,红葡萄酒
小儿纤维性骨营养不良综合征,花生（炒）
乙状结肠间疝,鹅肉
先天性主动脉瓣窦动脉瘤破裂,白酒
先天性肠闭锁,啤酒
帽状腱膜下脓肿,白酒
脉管炎,螃蟹
肺部良性肿瘤,干腌菜
肛门息肉,辣椒(红、尖、干)
失血性休克,白扁豆
急性弥漫性腹膜炎,白酒
胰岛细胞类癌,白酒
急性硬脑膜外血肿,鹅肉
痿病,三文鱼
骨折不愈合,鸭蛋
系统性红斑狼疮伴发的精神障碍,螃蟹
输尿管损伤,白酒
小儿尿路感染,羊油
胆石性肠绞塞综合征,白扁豆
银屑病关节炎及其伴发的葡萄膜炎,鸡翅
肥胖症,核桃
泌尿生殖系放线菌病,干腌菜
咽异感症,虾皮
青少年及小儿阴道透明细胞癌,淡菜(鲜)
完全性房室传导阻滞,螺丝菜
腘肌腱损伤,面肥
骨癌,田螺
神经纤维瘤,白扁豆
舌咽神经损伤,蛏子
脊髓损伤,鸭蛋
妊娠合并心房间隔缺损,江米酒
外伤性脂肪坏死,螃蟹
子宫内膜增生,白酒
肠病性肢端皮炎,白酒
放射性皮炎,啤酒
糖代谢异常伴发的精神障碍,鸡肝
消化不良,海螺
肥胖性生殖无能综合征,白酒
维生素K缺乏病,杏仁
尺桡骨干骨折,草鱼
急性胆管炎,白扁豆
脊柱骨折,鸡心
皮肤过敏,白扁豆
心脏淤积淀粉样物质,鸭蛋
阴道白斑,羊油
骨旁骨肉瘤,白扁豆
溃疡坏死性口炎,松子仁
小儿肺脓肿,白扁豆
吻合口溃疡,绿豆
脑膜肉瘤,黑豆
枢椎椎体骨折,蜂蜜
慢性心包炎,咸鸭蛋
出血性脑卒中,鸭蛋
呼吸道结核病,咖喱
暴发性肝功能衰竭,鸭血(白鸭)
第三脑室肿瘤,白酒
蝶窦炎,绿豆
颈部囊状淋巴管瘤,白酒
生理性卵巢囊肿,辣椒(红、尖、干)
手癣,啤酒
内分泌性高血压,啤酒
甲状腺功能正常的甲状腺肿大,赤小豆
骨质增生,虾米
糖尿病性肾病,芝麻
盆腔炎,蛏子
先天性卵巢发育不全,红葡萄酒
大肠腺瘤,白酒
上皮样肉瘤,绿豆
眼球内炎,鸡爪
氨基酸尿症,江米酒
背痈,鳕鱼
黄体功能不全,白酒
疱疹样脓疱病,白酒
结胸证,田螺
脾虚泄泻,三文鱼
δ-贮存池病,绿豆
小儿腹胀,花生（炒）
老年人胆囊炎,鸭血(白鸭)
妊娠合并偏头痛,江米酒
神经性阳痿,咖啡
麻风性周围神经病,油条
口周湿疹,鸭血(白鸭)
脑外伤伴发的精神障碍,绿豆
金黄色葡萄球菌性边缘性角膜炎,腐竹
血管母细胞瘤,白酒
穿透性心脏外伤,白扁豆
手干裂,洋葱
肠系膜上动脉栓塞,绿豆
尺骨上1/3骨折合并桡骨头脱位,白酒
创伤性心源性溶血性贫血,鹿肉
老年人慢性疾病性贫血,白酒
脑血栓形成,白酒
产后出血,啤酒
亚健康,鸭蛋
慢性化脓性骨髓炎,腐竹
腰部峡部崩裂和脊椎滑脱,啤酒
唇腭裂,松子仁
先天性颅锁骨发育不全,面肥
精神发育迟滞,白砂糖
人为性皮炎,白酒
秃顶,姜
假性黑棘皮病,田螺
真菌过敏症,白酒
脊神经根炎,鹿肉
甲状腺结节钙化,辣椒(青、尖)
手湿疹,绿豆
幽闭空间恐惧症,辣椒(红、尖、干)
家族性进行性色素沉着,咸鱼
小儿先天性巨结肠,白扁豆
小儿中暑和暑热症,赤小豆
盆腔积液,鸭血(白鸭)
妊娠纹,鸭肉
内分泌性高血压,白砂糖
老年人急性胰腺炎,江米酒
Nezelot综合征,花生仁（炸）
小儿慢性肺炎,田螺
阴道前壁膨出,干腌菜
闭合性脊髓损伤,啤酒
结肠直肠损伤,南瓜子仁
口咽部粘连,腐竹
肌张力障碍综合征,白酒
创伤性血胸,绿豆
酒精性肝硬化,鸡心
桡骨头骨折,猪脑
骨折,油条
脉络膜黑色素瘤,鸭血(白鸭)
小儿气管、支气管异物,花生（炒）
小儿急性淋巴细胞性白血病,咸鸭蛋
手部肌腱损伤,啤酒
流痰,沙丁鱼
小儿脑膜瘤,白扁豆
生理性卵巢囊肿,腊肉（烟肉）
妊娠性急性阑尾炎,白酒
小儿高血压,鸡蛋黄
听神经瘤,白酒
瑞氏综合症,白酒
颅骨纤维异常增生症,白酒
血友病,腐竹
腺病毒性肺炎,啤酒
颈部纤维瘤,白酒
肠炎,三文鱼
小儿肾性糖尿,螃蟹
下丘脑综合征,咸鸭蛋
心脏钝性闭合伤,啤酒
原发性下肢静脉瓣膜关闭不全,杏仁
急性出血坏死型胰腺炎,芝麻
伪膜性肠炎,鸭掌
暴露性角膜炎,赤小豆
创伤性窒息,黄酒
足部骨折,鸭肉
念珠菌性包皮龟头炎,白酒
肱骨内上髁炎,啤酒
胰腺囊肿,白酒
小儿碘缺乏病,杏仁
睑缘炎,冰糖
痒点,赤小豆
腓总神经损伤,蜂蜜
睾丸炎,鹿肉
PUVA雀斑样痣,白酒
急性腐蚀性胃炎,黑豆
颈椎小关节创伤性退变性关节炎,油豆腐
玻璃体出血,白扁豆
吻合口溃疡,白酒
眶底骨折,螃蟹
眼内转移性肿瘤,白扁豆
胆囊类癌,黑豆
小儿急性化脓性关节炎,花生（炒）
骨瘤,白酒
涎瘘,白酒
慢性肺源性心脏病,腐竹
冻疮,赤小豆
脊柱脊髓损伤,白扁豆
产后喘促,三文鱼
血管瘤,杏仁
第四脑室肿瘤,白酒
早产,螃蟹
妊娠合并急性胆囊炎,啤酒
淋菌性尿道炎,油条
青春发育延迟及性幼稚,蜂蜜
癌症,虾米
开放性脑外伤,虾米
膝关节脱位,螃蟹
盆腔肿瘤,鸭蛋
热毒冲心,田螺
鲍温样丘疹病,白酒
包涵体肌炎,红葡萄酒
心律失常,鸡肝
气管肿瘤,猪油（板油）
埃里希体病,鸭血(白鸭)
急性糜烂性胃炎,腐竹
慢性腰背痛,咸鸭蛋
颞下颌关节强直,腐竹
卵巢宫内膜样肿瘤,淡菜(鲜)
远端肾小管性酸中毒,鸭血(白鸭)
青春期厌食症,白酒
神经性呕吐,白酒
麻痹性斜视,白扁豆
遗传性出血性毛细血管扩张症,杏仁
胆囊良性肿瘤,啤酒
老年人消化性溃疡,田螺
甲状腺功能减退性心肌病,啤酒
扁桃体结石,白酒
慢性支气管炎,咸鸭蛋
下尺桡关节脱位,红葡萄酒
小儿先天性高氨血症,啤酒
Milk-Alkali综合征,白果（鲜）
骨外软骨肉瘤,白酒
创伤性休克,黑豆
小儿低氯性氮质血症综合征,油豆腐
纯红细胞再生障碍,咸鱼
微小病变型肾病,白酒
间歇性外斜视,赤小豆
慢性乳头状溃疡性脓皮病,绿豆
心脏神经官能症,啤酒
梅毒性骨软骨炎,干腌菜
习惯性便秘,白扁豆
急性淋病,桂皮
十二指肠先天性狭窄,啤酒
小儿慢性胃炎,白砂糖
休克,杏仁
结缔组织增生性毛发上皮瘤,啤酒
急性硬脑膜外血肿,油豆腐
尺管综合征,白酒
妊娠合并甲状旁腺功能亢进,淡菜(鲜)
胆汁性肝硬化,鹌鹑蛋
先天性肌性斜颈,白酒
急性出血性坏死性肠炎,绿豆
强迫症,啤酒
脐疝,绿豆
颌面部放线菌病,杏仁
恶性肿瘤所致贫血,松子仁
大肠埃希杆菌性胃肠炎,绿豆
髌骨骨折,草鱼
丧偶后适应性障碍,鸭肉
结肠扭转,银鱼
十二指肠炎,花生仁（炸）
腋臭,江米酒
钩虫病,白酒
闭锁综合征,白酒
先天性肺发育不全,啤酒
皮肤白细胞破碎性血管炎,啤酒
小儿龋病,糖桂花
阿斯伯格综合症,猪大肠
甲型H1N1流感,啤酒
