start,end
类鼻疽,草莓西瓜汁
经前期综合征,鲫鱼赤小豆汤
包皮龟头炎,百合绿豆汤
股骨大粗隆结核,雪菜牛肉粥
小肠类癌,香菇冬瓜汤
慢性阑尾炎,小米素羹
生长期脱发,鸡肉白薯粥
真性红细胞增多症,萝卜羊肉汤
痈,花菜饺
神经系统结节病,何首乌牛肉汤
滑囊炎,白菜虾仁面汤
维生素B12缺乏所致贫血,小麦粥
踝关节扭伤,青菜饭
职业黑变病,白菜包子
滴虫性阴道炎,薏米豆腐羹
鼻硬结病,冬虫草炖鸭
胃反应性淋巴增生,草莓西瓜汁
缺血性多形性室性心动过速,清汤白菜卷
颈椎半脱位,西兰花素鸡马蹄冬菇汤
小儿肾性贫血,玉米粉燕麦粥
小儿单房性骨囊肿,海参粥
拟除虫菊类农药中毒,菊花龙井茶
呼吸道感染,冬瓜草鱼汤
食管受压性吞咽困难,卷心菜菠萝汁
血尿,莴笋叶豆腐羹
小儿法洛四联症,麦芽山楂饮
甲状腺结核,山药桂圆粥
小儿先天性面肌双瘫综合征,花生豆奶
单纯疱疹病毒性角膜炎,菊花茶粥
老年人心肌梗死,猪肚熬汤
副乳乳腺癌,紫菜芙蓉汤
肿瘤,酱牛肉
膜性口炎,豆浆粥
小儿丘疹性肢皮炎综合征,芝麻栗子糕
老年人低血糖昏迷,龙眼莲藕汤
慢性病毒性肝炎,酸菜饺
无排卵型功能失调性子宫出血,绿豆薏米露
肌纤维组织炎,杂粮粥
骨膜软骨瘤,大麦豇豆粥
白屑风,山药扁豆粥
寄生虫病,芙蓉羊肚菌
小儿血清病,猕猴桃西米粥
颞动脉炎,素炒小白菜
桡神经损伤,玉米粉燕麦粥
甲状旁腺功能减退症,小米素羹
肺纤维化,番茄黄瓜汁
睾丸炎,白菜藕丸汤
退变性关节病,双菇番茄黄瓜紫菜汤
外伤性脑积水,香菇油菜包
腕管综合征,四季豆焖肉排
外伤后脑膨出,厚菇芥菜
胫骨内髁骨软骨病,海带粳米粥
巨细胞病毒性肺炎,小白菜馅包子
营养性巨幼红细胞性贫血,肉片粥
莱姆病性巩膜炎,胡萝卜番茄汤
宫颈复发癌,清蒸甲鱼
小儿原发性纤毛运动障碍,香菇豆苗萝卜汤
原发性IgA肾病,牛奶花椰菜泥
家族性结肠息肉,虾胶西兰花
外阴上皮样肉瘤,龙胆草蛋
小儿溶血尿毒综合征,蛋蓉菜花汤
痔核,杂粮粥
外阴前庭炎,冰糖绿豆苋菜粥
麻黄碱中毒,冬瓜草鱼汤
血管内大B细胞淋巴瘤,蘑菇胡萝卜拌饭
黄斑前膜,小麦粥
抗利尿激素分泌异常综合征,丝瓜汤
髓内肿瘤,卷心菜菠萝汁
小儿急性肾功能衰竭,海带粥
髌腱断裂,山楂桑椹粥
神经性肠梗阻综合症,玉米火腿粥
屈光不正,菠菜粥
红斑,菠菜虾米汤
腱鞘炎,鸡肉炒藕丝
原发性甲状旁腺功能亢进症,桂圆栗子粥
男科病,黄豆芽排骨豆腐汤
面肌痉挛,鸡肉白薯粥
肺念珠菌病,冬瓜草鱼汤
心脏钝性闭合伤,杂粮粥
椎管内结核肉芽肿,菠菜豆腐汤
子宫内膜厚,西式牛奶粥
抽动障碍,桑葚饮
牙科病,菠菜芹菜粥
股癣,草莓柠檬汁
急性化脓性腮腺炎,白菜蛋花粥
少年儿童葡萄膜炎,青菜包
疱疹样脓疱病,黄花菜炒黄瓜
鳞状细胞癌,凉瓜肉排煲
下消化道出血,鸡蛋豆腐汤
人乳头瘤病毒感染,鱼香鸡爪
爆裂性眼眶骨折,苎麻根鲈鱼汤
心血不足,菠菜双蛋羹
乳腺癌皮肤转移,白果莲子粥
贲门癌,黑芝麻粥
视神经炎,百合鸡蛋黄汤
黄曲霉素中毒,拌生菜
麻疹,猕猴桃苡仁粥
外耳道乳头状瘤,枸杞炖鲫鱼
肝气不舒,糯米莲藕
露阴癖,金银花苦瓜汤
中耳气压伤,胡萝卜香蕉汁
膀胱瘘,酿冬瓜
小儿热带嗜酸性粒细胞增多症,黑芝麻红枣粥
肉痉,清汤白菜卷
固定性药疹,清炒荷兰豆
急性骨髓性白血病,参姜小米粥
尘螨过敏,黄芪莲子田鸡汤
舌甲状腺,生菜龙虾
小儿法洛四联症,红花糯米粥
少年儿童葡萄膜炎,牛奶菠菜粥
屈光不正,冬菇鱼肉羹
便秘,核桃片
痢疾后综合症,蔬菜杂烩粥
桡管综合征,生菜鸡丝
斜视,紫菜色拉卷
良性脂肪母细胞瘤,素炒圆白菜
青春发育延迟及性幼稚,番茄皮蛋菜汤
上呼吸道感染,甜石榴西米粥
毛圆线虫病,菠菜豆腐汤
糖尿病酮症酸中毒,甘笋酸梅汤
先天性环状束带,萝卜豆腐汤
过敏性皮炎-测试,萝卜豆腐汤
变异型心绞痛,苹果玉米豆粉羹
心脏骤停与心肺脑复苏,绿豆粥
军团病,西兰花素鸡马蹄冬菇汤
皮肤T细胞淋巴样增生,圆白菜炒粉丝
姿态性腰腿痛,冬菇椰菜豆腐粉丝汤
上颌后缩,西葫芦饺
环跳疽,绿豆南瓜汤
慢性疾病的贫血,花生杏仁粥
性冷淡,油炸麻雀
癫狂病,萝卜豆腐汤
毛囊性黏蛋白病,什菜面
动脉粥样硬化,胡萝卜香蕉汁
理发师皮炎,紫菜芙蓉汤
惊恐症,白果冬瓜粥
脑性瘫痪,干煸芸豆
缺血性肠绞痛,白菜清汤
吻合口溃疡,蜜汁桂花苹果
眶蜂窝织炎,素油菜心
萎缩性胆囊炎,绿豆奶粥
阴道腺病,芹菜炒蛋
妊娠合并偏头痛,白木耳炒豆腐
小儿急进性肾小球肾炎,苹果酱
神经性耳鸣,牛奶杏仁粥
畸形性骨炎,豆腐脑素三鲜
颈部囊状淋巴管瘤,冬瓜草鱼汤
血吸虫病,白扁豆参米粥
老年人甲状腺功能亢进症,素鸡烧柳松茸
染色体异常,炖大白菜
特发性室性心动过速,鲫鱼莲子汤
先天性主动脉瓣上狭窄,鲜陈白菜汤
雷诺综合征,炖山药
慢性进行性舞蹈病,羊肉汤面
膀胱咳,贝母梨罐
骨样骨瘤,红焖螃蟹
外痔,海带果菜汁
单纯性甲状腺肿,红杞海参鹌鹑蛋
男性生殖器畸形,小白菜馅包子
肌萎缩性侧索硬化,鱼肉酿冬菇
浆膜下肌瘤,山药蛋黄粥
胆囊胆固醇沉着症,杏鲍菇炖鸭
凉燥,蒲公英粥
远视,猪肉青菜粥
智力低下,羊肉素菜拌饭
眶下间隙感染,芦笋汁
小儿抽动症,鲜蘑豆腐汤
癫病,菠菜豆腐汤
过敏性紫癜,花生猪蹄汤
月经病,草鱼豆腐
老年人睡眠障碍,菜花泥子汤
肝癌,白果炒百合
酒中毒性痴呆,炒丝瓜
外阴疖病,山药奶肉羹
传染性湿疹样皮炎,薏仁绿豆汤
Poncet综合征,豆腐素蒸包
延髓性麻痹,鸡蛋面丝汤
抽动秽语综合征,牛奶菠菜粥
高碘性甲状腺肿,胡萝卜苦瓜汁
麻风,葡萄干粥
肩锁关节脱位,鲤鱼粥
小舞蹈病,清炒黄豆芽
煤炭工尘肺,猪肉青菜粥
神经症,番茄黄瓜汁
慢性溃疡性结肠炎,冬瓜赤豆汤
病理性骨折,鲜蘑豆腐汤
乳腺纤维腺瘤,猪肉玉米粥
手足徐动症,水萝卜丝拌白菜
老年人感染性休克,干萝卜丝酱菜
神经根型颈椎病,豆腐皮春卷
癫痫伴发的精神障碍,桂圆栗子粥
虫咬皮炎,木耳鸭肝烩
小儿期前收缩,麦冬小麦粥
甲状腺结核,花生芝麻糊
脑出血,炖五香牛肉
子宫恶性肿瘤,牛肉煎包
气管前间隙感染,圆白菜炒粉丝
营养性巨幼红细胞性贫血,荞麦粥
小儿急性阑尾炎,菠菜煎豆腐
爆裂性眼眶骨折,豉椒炒海蟹
口腔黏膜白斑,煎芝麻地瓜饼
猩红热样红斑,紫菜豆腐肉片汤
铅中毒引起的溶血性贫血,紫菜粥
韧带炎,南瓜饭豇豆粥
子宫内膜不规则脱落,蔬菜杂烩粥
小儿过敏性紫瘢,羊骨粥
脊髓炎,牛奶玉米汤
肠道血管畸形,清炒蘑菇
甲内型甲真菌病,蛋蓉菜花汤
小儿期前收缩,五谷糙米粥
肥厚型心肌病,凉拌番茄
肠粘连,鸡蛋黄花汤
自然流产,双菇番茄黄瓜紫菜汤
小儿砷中毒,菠菜豆腐汤
氯气中毒,油菜粥
胃肠道癌皮肤转移,紫菜芙蓉汤
鲍恩病,核桃鸡肉粥
股动脉瘤,双菇鲫鱼汤
急慢性肝炎,鸡肉蒸饺
肠杆菌肺炎,鸡火白菜汤
胎儿窘迫,瑶柱生菜白菜汤
疥疮,苦瓜粥
血管损伤,卷心菜菠萝汁
膝关节损伤,菠菜双蛋羹
巴特综合征,莲子茶
药物性肝硬化,小米素羹
软产道异常性难产,牛奶菠菜粥
神经纤维瘤,小米鹌鹑汤
汞皮炎,马齿苋炒鸡蛋
肾小球肾炎,鱼香槐花
残胃平滑肌肉瘤,槟榔糯米粥
蓝鼓膜与胆固醇肉芽肿,牛奶菠菜粥
瘢痕性类天疱疮,薏苡仁绿豆粥
关节扭伤,腰果西兰花
结核性膀胱挛缩,六味牛肉脯
小儿颅面骨畸形综合征,胡萝卜苦瓜汁
获得性血小板功能障碍,荞麦粥
联合瓣膜病变,雪菜青豆韭菜豆腐汤
偻附,牛奶香蕉糊
牛皮癣,栗子粥
流产,清牛肉汤
胃内异物,海带果菜汁
嗜血流感杆菌的皮肤感染,草莓西瓜汁
感染性血小板减少性紫癜,干冬菜粥
风热感冒,红糖生姜汁
咽部狼疮,白菜小米卷
痞气,荠菜萝卜汁
小儿神经母细胞瘤,木瓜胡萝卜玉米粥
肌张力障碍综合征,牛奶麦片粥
喉癌,雪菜肉末粥
乳房纤维腺瘤,花豆腐生菜瘦肉汤
复发性溃疡,莲子桂圆汤
痴呆,紫菜鸡蛋汤
先天性性联无γ-球蛋白血症,油菜粥
房性逸搏和房性逸搏心律,燕麦粳米粥
小儿先天性肺囊肿,木瓜鲜奶饮
急性附件炎,葡萄干粥
结肠粪性穿孔,小白菜猪肉饺
小儿慢性胃炎,三鲜冬瓜汤
鼻疔,荔枝汁
绝经期尿失禁,清蒸甲鱼
糖原累积病,番茄西瓜汁
皮脂腺上皮瘤,金银花苦瓜汤
夜间哮喘,鸡肉蛋花木耳汤
伴纤维囊性骨炎的假性甲状旁腺功能低下症,香菇油菜面筋粥
慢性酒中毒,罗汉果金银菜柿饼汤
脊髓灰质炎,鱼肉酿冬菇
慢性肾炎,鸡翅粥
胆囊胆固醇沉着症,脆皮豆腐
小儿生长激素缺乏症,莲藕发菜红豆汤
缺血性视盘病变,香菜莲藕饺
进行性脂肪营养不良,鲜菇小米粥
脑室内脑膜瘤,海带果菜汁
毛囊瘤,菜花泥子汤
霉菌性外阴炎,猪肉枸杞汤
二尖瓣关闭不全,清蒸茄子
女性的青春期延迟,鸡肉白薯粥
小儿亚急性甲状腺炎,紫菜芙蓉汤
烧伤后急性肾功能衰竭,素炒圆白菜
会阴裂伤,豌豆绿豆粥
卵巢囊肿,腊鲜鸭肝
镰状细胞性肾病,黄花菜炒黄瓜
基底细胞癌,菠菜粥
明癣,茯苓大枣山药粥
食道溃疡,黑米粥
鼻恶性肉芽肿,紫菜鸡蛋汤
窦性心动过速,清炖枸杞牛鞭汤
幼女性外阴阴道炎,素炒圆白菜
足部骨折,苦菜粥
色素性口周红斑,银耳鸽蛋粥
痞满,甜酸莴苣
婴儿肠痉挛,木瓜胡萝卜玉米粥
切口疝,核桃鸡肉粥
社会获得性肺炎,草鱼豆腐
口腔扁平苔藓,双菇番茄黄瓜紫菜汤
妊娠合并生殖器疱疹,小白菜馅包子
血小板减少症,糯米麦粥
慢性卡他性结膜炎,罗汉果金银菜柿饼汤
小儿肥胖性生殖无能综合征,冬瓜鲤鱼汤
睑缘炎,杂粮粥
牙体缺损,冬菇鱼肉羹
奶麻,胡萝卜苹果汁
性交疼痛,圆白菜炒粉丝
感染性肋软骨炎,白菜蛋花粥
心肾不交,茄子粥
强酸类中毒,干冬菜粥
急性膀胱炎,时蔬小豆腐
胎盘早剥,鸡蓉玉米羹
柏哲病,木耳银芽海米粥
外阴-阴道-牙龈综合征,豆浆南瓜汤
卵巢癌,白菜蛋花粥
浅层点状角膜炎,紫菜芙蓉汤
咽部瘢痕狭窄,玉米粉燕麦粥
子宫收缩乏力,鱼烧豆腐
喉返神经损伤,三文鱼饺
帕金森病,赤小豆鸡汤
慢性粒细胞性白血病,牛奶玉米汤
伤寒,猪肝炒胡萝卜
心肌梗死,鲫鱼莲子汤
萎缩性鼻炎,南瓜团子
分裂情感性障碍,小米素羹
前列腺结石,豆腐烧胡萝卜
浅表性静脉炎,慈菇木耳汤
斑秃,菊花茶粥
老年人心肌梗死,鲶鱼炖茄子
上干型胸廓出口综合征,鸽肉粥
肌肉肌腱单位的急性损伤,蘑菇冬瓜汤
小儿慢性充血性脾肿大,珍珠笋番茄蘑菇汤
妊娠期肝血肿及破裂,菠菜豆腐汤
便秘,五谷糙米粥
汗孔角化病,蜜枣薏米煲
链球菌感染后的急性肾小球肾炎,火腿炒油菜
胆囊类癌,芋艿米豆粥
尺骨下1/3骨折合并下尺桡关节脱位,花生菠菜粥
感染性血小板减少性紫癜,甜菜叶粥
中毒性眩晕,银耳樱桃羹
髌股关节疼痛,山药豆腐汤
胸骨骨折,蔬菜杂烩粥
眼底病,鱼香油菜心
精神发育迟缓,小米鹌鹑汤
颅狭症,羊肉菠菜汤
异物伤,银耳冬瓜羹
疮疡,香菇鸡粒粥
筛窦恶性肿瘤,素炒菠菜
颅底骨折,海带瘦肉粥
踝部扭伤,牛奶香蕉糊
腱病,百合芝麻猪心汤
隐睾,土豆泥牛奶粥
c胰岛功能性β细胞瘤,山药桂圆粥
膀胱葡萄状肉瘤,牛肉萝卜白米粥
膀胱气痛,冬瓜拌西红柿
急性化脓性胃炎,芹菜黄瓜素肉汤
无胆色素尿性黄疸综合征,鲜菇小米粥
前列腺肉瘤,香菇薏米饭
男性乳房肥大症,红萝卜无花果花鱼汤
表皮松解性棘皮瘤,猪肝白菜汤
颅骨骨折,花生鸡脚节瓜猪骨汤
喉结核,小麦粥
腹股沟直疝（疝气）,番茄炒菜花
弥漫性掌跖角化病,香菜莲藕饺
妊娠合并肝硬化,桂圆肉粥
副流行性感冒,桂圆栗子粥
掌指关节脱位,核桃鸡
小儿α-地中海贫血,苹果沙拉
扁桃体癌,清肠大豆芽豆腐汤
毛囊脓疱病,菠菜豆腐汤
急性共同性斜视,玉米粥
焦虑症,龙眼酸枣仁饮
纵隔肿瘤,小米素羹
鼻中隔血肿,薄荷莲子羹
恶心和呕吐,白萝卜水饺
外伤性癫痫,丝瓜汤
多发性大动脉炎,鲤鱼脑粥
心脏瓣膜关闭不全,砂锅鱼头豆腐
药物性肝硬化,豆薯小米粥
成人硬肿症,鸡火白菜汤
浅表性胃炎,小米枣仁粥
胆源性慢性胰腺炎,鲜蘑豆腐汤
溃疡病急性穿孔,花生猪骨粥
大疱性类天疱疮,菜花泥子汤
智能障碍,芦笋胡萝卜汁
颧骨骨折,菠菜豆腐汤
视神经脊髓炎,赤小豆鲤鱼汤
痈,什菜面
甲状腺结核,山药葡萄粥
甲状舌囊肿及瘘管,银耳绿豆粥
急性心包炎,时蔬小豆腐
哨兵痔,红烧胡萝卜
颈肋综合征,油菜叶拌豆丝
食管壁内憩室,薏米莲子粥
排卵障碍,菠菜豆腐汤
毛盘瘤,紫菜芙蓉汤
气瘤,芹菜黄瓜素肉汤
子宫破裂,清蒸鲈鱼
鼻前庭囊肿,三鲜冬瓜汤
含亚硝酸盐类植物性食物中毒,鸡丝豌豆汤
强酸类中毒,牛奶菠菜粥
葡萄球菌肺炎,草鱼豆腐
葡萄球菌性食物中毒,白萝卜粥
多发性内分泌肿瘤综合征Ⅰ型,核桃芡实粥
肺热,雪梨饮
泥螺-日光性皮炎,枸杞核桃粥
无痛性心肌梗死,冬瓜香菇海带汤
结节性硬化病,木瓜炖带鱼
膜增生性肾小球肾炎,香菇冬瓜汤
创伤性骨髓炎,花生菠菜粥
慢性上颌窦炎,苹果派
内分泌失调,芝麻大饼
脑干损伤,圆肉核桃瘦肉汤
鼻部囊肿,胡萝卜泥汤
关节脱位,苹果胡萝卜泥
多囊肾,瘦肉田鸡汤
梅毒性心血管病,豆薯小米粥
人乳头瘤病毒感染,南瓜腐皮花生冬菇汤
肠风,槐花粥
孟氏骨折,粉蒸白菜
延髓进行性麻痹,西兰花素鸡马蹄冬菇汤
斜颈,茄汁烩肉饭
黏液纤维肉瘤,香菇薏米饭
良性高血压性小动脉性肾硬化,珧柱冬瓜炖田鸡
大脑镰旁脑膜瘤,培根白菜粥
玻璃体混浊,蘑菇木耳饺
睾丸下降不全,荔枝汁
阴虱病,香菇油菜包
胆汁返流性胃炎,女贞子蜂蜜饮
血管畸形引起的吞咽困难,苹果生菜酸奶汁
小肠吸收不良综合征,木瓜胡萝卜玉米粥
裂谷热,木瓜炖带鱼
骨良性纤维组织细胞瘤,木耳红枣粥
布氏菌病,白果冬瓜粥
青年上肢远端肌萎缩,炒空心菜
乳腺癌肉瘤,猪肉青菜粥
肾血管性高血压,苋菜鱼头豆腐汤
食管异物,黑米粥
缺血性心肌病,鸡火白菜汤
小儿急性喉气管支气管炎,百合杏仁枇杷粥
小肠瘘,芹菜牛肉粥
阴道嗜血杆菌性阴道炎,甜石榴西米粥
脾肾两虚,二豆粥
皮痹,酱山药
白喉,菠菜豆腐汤
慢性纵隔炎,罗汉果金银菜柿饼汤
晶体异位和脱位,红枣银耳粥
平底足,牛奶花生粥
宫外孕,冬菇椰菜豆腐粉丝汤
舌癌,双菇番茄黄瓜紫菜汤
血卟啉病,水果什锦奶羹
口臭,海带粳米粥
脚气病性心脏病,黄瓜饺
军团菌病,牛奶玉米汤
肝错构瘤,紫菜芙蓉汤
蓝痣,小白菜拌海苔
心肌炎,小麦红枣猪脑汤
心绞痛,山楂茶
心律失常,水晶莲子
痢疾后综合症,山药红枣粥
化脓性甲沟炎,培根白菜粥
维生素E缺乏病,苹果沙拉
小儿慢性肉芽肿病,红萝卜西芹汁
强迫型人格障碍,银下莲子糯米粥
硬皮病,杂粮粥
布氏菌病,黄瓜鸡片汤
小儿脉络丛乳头状瘤,玉米笋饺
胸腔积液,炝圆白菜
职业黑变病,小白菜馅包子
老年人肺气肿,蘑菇木耳西兰花腐竹汤
脉络膜血管瘤,酥黄菜
皮肤病,五柳青鱼
蓐劳,土豆汤
外阴黏膜白斑,南瓜大麦粥
化脓性脑膜炎,清甜莲子
连续性肢端皮炎,鸡肉白薯粥
胸壁软组织损伤,木瓜汤
血管内大B细胞淋巴瘤,桃仁红枣粥
膀胱结核,万寿果煲生鱼汤
充血性脾肿大,花生杏仁粥
手足徐动症,香菇西兰花
腰腿痛,菜煎饼
肾绞痛,豆腐烧油菜
胸膜炎,炝菜花
小儿急性淋巴细胞性白血病,牛奶菠菜粥
继发性化脓性腹膜炎,香菇扒小白菜
软组织肉瘤,豆腐番茄鱼片牛肉汤
银屑病关节炎及其伴发的葡萄膜炎,鲤鱼脑粥
胞生痰核,凉拌海蜇皮
妊娠合并急性阑尾炎,西兰花炒牛肉
鼻炎,黄花鱼粥
丘疹坏死性结核疹,素拌芹菜
甲癣,油菜叶拌豆腐丝
老年人肥胖症,竹笋米粥
老年人类风湿性关节炎,木瓜羊肉汤
流行性腮腺炎,薄荷莲子羹
腰椎滑脱,罗汉果金银菜柿饼汤
短膜壳绦虫病,冬瓜菠萝羹
间歇性眼球突出症,豆薯小米粥
滴虫性阴道炎,白果冬瓜粥
白痢,胡桃肉藕粉糊
慢性心力衰竭,牛奶菠菜粥
颈部纤维瘤,芒果凤尾虾
小儿急性肠系膜淋巴结炎,核桃虾仁粥
沙门氏菌属食物中毒,黄瓜卷
尿道憩室,豆薯小米粥
手部肌腱损伤,蘑菇猪瘦肉汤
类固醇后脂膜炎,鸡肉白薯粥
暴发性肝功能衰竭,烩双菇
血清病,荞麦粥
梅毒性心血管病,萝卜豆腐汤
甲醛中毒,红枣银耳粥
东方马型脑炎,红豆花生红枣粥
鼻疽,茶鸡蛋
小儿贲门失弛缓症,菠菜双蛋羹
青霉病,猕猴桃西芹汁
砣疣,冬菇烧白菜
玻璃体混浊,冬菇木耳瘦肉汤
小儿肠系膜淋巴结结核,荔枝粥
结肠血管扩张症,蘑菇木耳西兰花腐竹汤
颌骨囊肿,紫菜芙蓉汤
手癣,马齿苋粳米粥
经行头痛,胡萝卜蛋糕
亚健康,松子核桃膏
坐骨神经痛,蔬菜杂烩粥
上消化道出血,红豆莲藕粥
先天性无阴道,香菇素包
念珠状发,肉末胡萝卜炒饭
呃逆症,椒盐白菜
骨癌,草鱼豆腐
小儿急性化脓性甲状腺炎,鲜蘑菇豆腐汤
小儿大肠杆菌肠炎,番茄皮蛋菜汤
外阴皮肤脂溢性皮炎,猪肝蛋黄粥
小儿食物中毒,海带果菜汁
神经性阳痿,素炒菠菜
恶性雀斑样痣,西式牛奶粥
胃肠道癌转移卵巢,南瓜大麦粥
系统性红斑狼疮所致精神病,苹果沙拉
中风,莴笋粥
上消化道出血,生煸黄花菜
阿斯匹林不耐受三联症,玉米粥
纤维肌痛综合症,奶油白菜
绝经后子宫颈癌,鲜百合冬菇西兰花汤
溶血性黄疸,酸奶银耳水果羹
宫颈癌,白菜虾仁面汤
断肢再植,赤小豆鸡汤
白屑风,薏米莲子粥
痛风和高尿酸血症,空心菜瘦肉粥
鼻疖,绿豆薏苡仁汤
恶性青光眼,番茄西米粥
睾丸癌,土豆泥牛奶粥
肛管癌,清炒绿豆芽
卵巢囊肿,酱羊肉
小儿颅脑损伤,蛋蓉菜花汤
周边葡萄膜炎,黄瓜拌绿豆芽
外阴湿疹,砂锅菠萝苦瓜鸡腿
先天性肌强直,香菇白菜羹
肺部良性肿瘤,甜杏仁羹
气管肿瘤,香菇扒小白菜
脑脊液漏,芝麻大饼
小儿室间隔缺损,蘑菇鸡丝蛋花汤
非酒精性脂肪性肝病,香菇薏米饭
颈椎骨折伴脱位的损伤,红扁豆粥
糙皮病样皮疹,荞麦粥
强迫型人格障碍,小麦红枣猪脑汤
外隐斜,牛奶菠菜粥
葡萄胎,鲜味带鱼
神经性皮炎,马齿苋粳米粥
血管内皮瘤,猪肉青菜粥
心脏横纹肌瘤,红枣银耳粥
童年情绪障碍,油焖武昌鱼
消化系统疾病伴发的精神障碍,绿豆粥
肝硬化,芝麻茶
腺病毒性肠炎,香菇油菜包
包皮阴茎头炎,枸杞粳米粥
血小板减少症,猪肉青菜粥
鼻中隔脓肿,菠菜鸡蛋肉丝汤
颞骨和下颔骨关节异常,银耳炖木瓜
腹部创伤,紫菜芙蓉汤
消化系癌伴血液病综合征,炸咖喱鳕鱼
小儿肺栓塞,土豆泥牛奶粥
胫骨结节骨软骨病,鸡肉饭
淋巴瘤引起的肾损害,木瓜炖带鱼
肠道寄生虫病,白木耳粥
特发性肺纤维化,百合粥
脑挫裂伤,芥蓝头什锦丁
颈肋综合征,紫菜鸡蛋莲草汤
心脏黏液瘤,腰果西兰花
宫外孕,雪菜水饺
心脏穿透伤,豆薯小米粥
肥大性龈炎,水果蛋糕
性障碍,莲藕章鱼煲猪肉
小儿α-地中海贫血,清蒸鲻鱼
前十字韧带损伤,荔枝红枣粥
颈椎椎弓裂,虾皮香芹燕麦粥
外阴浸润性鳞癌,紫菜芙蓉汤
幽闭空间恐惧症,白果莲子粥
输尿管异位开口,瑶柱生菜白菜汤
青光眼,薏米豆腐羹
小细胞低色素性贫血,鲫鱼砂仁汤
斑状萎缩,当归炖鸡
成人脐疝,香蕉百合银耳羹
干酪性鼻窦炎,绿豆薏米饭
咽部机械性创伤,白果冬瓜粥
小儿维生素A缺乏病,青胡萝卜排骨汤
慢性酒中毒,菠菜双蛋羹
结核性宫颈炎,清炖鲫鱼
跟腱炎,炖奶汤鲫鱼萝卜丝
慢性闭角型青光眼,紫菜芙蓉汤
老年人心肌梗死,莲子猪肚
原卟啉病,木瓜胡萝卜玉米粥
丘脑下部损伤,胡萝卜粥
隆突性皮肤纤维肉瘤,木瓜炖带鱼
强酸类中毒,猪肉青菜粥
风湿性心脏病,紫菜豆腐肉片汤
跟骨骨骺骨软骨病,鸽蛋菜心粥
心火上炎,玉米粉燕麦粥
阑尾炎,番茄青豆汤
耳湿疹,菠菜豆腐汤
小儿急性喉炎,黄花菜炒木耳
神经鞘瘤,牛奶玉米汤
小儿急性化脓性关节炎,黄瓜粳米粥
出血性疾病,益母草泡红枣
脊柱侧凸,小白菜馅包子
睡眠型癫痫,香菇油菜包
肠易激综合征,人参黄芪粥
急性胆源性胰腺炎,酸菜炖鲫鱼
法洛三联症,胡萝卜苹果汁
鼻咽血管纤维瘤,牛奶菠菜粥
黄曲霉素中毒,油菜粥
溃疡性直肠炎,肉片粥
毛滴虫病,冬菇椰菜豆腐粉丝汤
溃疡性结肠炎性关节炎,鲜奶核桃粥
黑色素瘤,蘑菇木耳饺
月经过多,红豆糯米粥
瘢痕癌,海参粥
肠系膜上动脉压迫综合征,鸭梨粥
血卟啉病性周围神经病,木瓜鲜奶
小儿蛋白质-能量营养不良,西式牛奶粥
开放性骨折,红烧肉饭
妊娠合并原发性高血压,茯苓柚子饮
喉部创伤,豆薯小米粥
Maffucci综合征,番茄鸡蛋煎饼
肾囊肿,芝麻山药饼
单纯性肥胖,金橘柠檬汁
菌血症,苦瓜瘦肉汤
白塞病,白菜包
涎腺癌,鸡肉白薯粥
食物中毒,猪血粥
畸形性骨炎,蛋蓉菜花汤
