start,end
解脲支原体感染,阴道妇科常规检查
驱蛔灵中毒,心电图
埃可病毒疹,涂片
先天性肝纤维化,腹部CT
老年病,血脂检查
椒疮,眼睑检查
睾丸癌,男性生殖系X线检查
双性恋,头颅平片
血色病,心电图
荨麻疹,献血者健康检查
中枢神经兴奋药中毒,神经系统检查
先天性厚甲症,皮肤病的物理检查
脐膨出,脐检查
显微镜下多血管炎,胸部透视
单心房,心血管造影
纵隔非霍奇金淋巴瘤,血常规
前斜角肌综合征,四肢的骨和关节平片
胸椎椎管狭窄症,胸部透视
胸痹,血常规
小儿双唇综合征,类风湿因子（RF）
局限型间皮瘤,胸部B超
视网膜静脉周围炎,眼底荧光血管造影
小儿尿路梗阻,造影检查
男子乳房发育症,睾酮（T）
肋软骨炎,血液生化六项检查
腰肌劳损,CT检查
血灌瞳神,眼底检查
食管血管瘤,食管造影
胰腺囊腺瘤和囊腺癌,肿瘤标志物检测
结肠炎,特里布累氏试验
咽部狼疮,红斑狼疮细胞(LEC)
维生素B1缺乏病,胸部平片
虹膜炎,集光检查法
老年人低血压,肾上腺素试验
铜绿假单胞菌感染,脓汁和创伤感染标本细菌学检查
乳头状囊腺瘤,颅脑CT检查
肺部钩虫病,胸部平片
急性单纯性咽炎,药敏试验
小儿内脏幼虫移行症,肺功能检查
绝经与阿尔茨海默病综合征,脑电图检查
缺铁性贫血,全血铁
丙型病毒性肝炎,腹部CT
结肠阿米巴,肠镜
小儿脾大,类风湿因子
子宫内膜癌,盆腔CT检查
小儿血管角质瘤综合征,尿常规
腱鞘囊肿,CT检查
周期性麻痹,尿钾
老年人血管性痴呆,ECT检查
小儿原发性脑干损伤,便常规
心脏瓣膜关闭不全,核磁共振成像(MRI)
单纯性甲状腺肿,ECT检查
反应性关节炎,关节腔液检查
先天性心包缺如或缺损,胸部平片
小儿原发性膀胱输尿管反流,血常规
鼻咽癌,局部显像
儿童期情绪障碍,神经系统检查
膝关节创伤性滑膜炎,四肢的骨和关节平片
骨恶性淋巴瘤,胸部CT检查
良性淋巴上皮病,类风湿因子
缺血性肠绞痛,内镜检查
痛性青紫综合征,皮损
胃粘膜脱垂症,胃镜
脑梗死,脑脊液肌酸激酶
乙脑伴发的精神障碍,补体结合试验
小儿豹皮综合征,脑电图检查
传染性单核细胞增多症,血涂片
脑棘球蚴病,血液检查
眼眶脑膜瘤,眼及眶区CT检查
急性减压性骨坏死,超声内镜检查
着色性干皮病,血清补体C8含量
淋球菌性腹膜炎,氧化酶试验
小儿期前收缩,心电图
眼睑痉挛-口下颏部肌张力障碍,核磁共振成像(MRI)
反射性交感神经营养不良综合征,涂片
小儿心房颤动,胸部CT检查
单纯疱疹病毒感染症,TORCH检查
小儿限制型心肌病,骨髓有核细胞计数
传染性淋巴细胞增多症,胸部平片
骨髓炎,血清补体C1q
小儿水杨酸盐类中毒,脑电图检查
雷诺氏病,血液检查
膈先天性缺损,胸部平片
小儿肾血管性高血压,血液电解质检查
隐匿型冠状动脉粥样硬化性心脏病,平衡法放射性核素心血管造影(ERNA)
弥漫性筋膜炎,血液生化六项检查
非火器性颅脑开放伤,脑血管造影
湿热痢,尿常规
人蠕形螨病,血常规
老年人骨质疏松,视力
膀胱尿道异物,前列腺B超检查
妊娠舞蹈病,妇科超声检查
滑膜炎,C-反应蛋白检验（CRP）
甲状旁腺功能减退症,钙调素
痰浊眩晕,心电图
颈部囊状淋巴管瘤,颈部MRI检查
小儿结核性胸膜炎,胸腔积液检查
年龄相关性白内障,年龄检查
习惯性髌骨脱位,X线碘油造影
妊娠合并肾病综合征,蛋白电泳
盲肠扭转,腹部听诊
内脏血吸虫炎,CT检查
痿证,抗类风湿性关节炎33抗体
乳腺囊性增生症,乳腺超声检查
四肢淋巴水肿,淋巴显像
宫外孕,妊娠试验
眼假组织胞质菌病综合征,补体结合试验
交感神经型颈椎病,颈椎CT检查
慢性肥厚性鼻炎,鼻腔检查
神经母细胞瘤,神经元特异性烯醇化酶（NSE）
肺错构瘤,尿常规
泪腺混合瘤,眼球及眼眶检查法
立氏立克次体斑疹热,凝血酶时间
B链球菌群感染,抗链球菌激酶试验
显微镜下多血管炎,免疫学检测
腹壁硬纤维瘤,腹部CT
前列腺炎,精液气味
小儿假性粒细胞减少症,脾脏超声检查
半椎体畸形,脊柱椎体平扫
脏寒,腹部听诊
睾丸鞘膜积液,睾丸活检
小儿肺炎链球菌脑膜炎,胸部CT检查
婴儿及儿童期癫痫及癫痫综合征,血液检查
门静脉高压性胃病,凝血时间
先天性颈椎齿状突畸形,脊椎平片
布氏菌肺炎,涂片
颈动脉海绵窦瘘,血管造影
肾炎,肾功能检查
肺不张,通气贮量比
猛兽伤,免疫病理检查
右心室双出口,胸部CT检查
泛发性扁平黄色瘤,肾功能检查
阴部鲍恩样丘疹病,免疫学检测
颅狭症,颅脑MRI检查
同种免疫性新生儿血小板减少性紫癜,血常规
乳痨,乳房淋巴结实验
继发性单克隆免疫球蛋白病,CT检查
急性阴道炎,电子阴道镜
四肢血栓性浅静脉炎,血管造影
蛔虫病,虫卵计数法
小儿鼻炎,鼻腔检查
外阴阿米巴病,涂片
化脓性脑膜炎,脑脊液透明度
颗粒细胞瘤,免疫学检测
小儿普通易变型免疫缺陷,脾脏超声检查
心包炎,弗里德瑞希征
铜中毒引起的溶血性贫血,血浆游离血红蛋白
先天性前尿道瓣膜,放射性核素肾图
小儿中毒型痢疾,尿常规
沙门氏菌性肠炎,肠道真菌病检测
十二指肠结核,腹部CT
咽血管畸形,吞咽试验法
单克隆丙种球蛋白病伴周围神经病,蛋白电泳
外伤性胆管损伤,腹部CT
老年人慢性肾盂肾炎,尿路平片
急腹症,腹部平片
脾破裂,腹腔灌洗试验
室间隔膜部瘤,多普勒超声心动图
血管内大B细胞淋巴瘤,免疫病理检查
复发性多软骨炎性巩膜炎,血常规
髓单核细胞白血病,单核细胞计数(MONO)
不动杆菌感染,脑脊液颜色
疣,皮肤涂片显微镜检查
乳头的乳头状瘤,血涂片
小儿阅读障碍,血常规
广州管圆线虫病,颅脑CT检查
涎腺病毒病,尿液细胞学检查
志贺菌病,便常规
乳腺肿瘤,乳腺检查
多形红斑,免疫病理检查
久泄,便常规
类脂质蛋白沉积症,头颅平片
肱骨髁间骨折,骨与关节MRI检查
透明隔囊肿,颅脑超声检查
顿呛,便常规
骨旁骨肉瘤,骨关节及软组织CT检查
球后视神经炎,视野检查
急慢性肝炎,乙型肝炎病毒e抗原（HBeAg）
阴道蚂蟥叮吸,血液检查
皮炎芽生菌,真菌组织病理学
营养不良性肝硬化,大生化检查
短暂性脑缺血发作,尿常规
急性胃肠炎,淀粉水解试验
遗传性补体缺陷病,血清总补体活性（CH50）
外阴淋巴管瘤,皮损
松毛虫皮炎,血常规
前列腺炎,精液液化时间
小儿尖头并指趾综合征,血常规
输入袢综合征,胃肠道疾病的超声检查
手部神经损伤,指深屈肌肌力试验
骨与关节结核,骨关节及软组织CT检查
老年期抑郁障碍,血液电解质检查
新生儿衣原体感染,腹部平片
小儿遗传性口形细胞增多症,骨髓象分析
放射病,白细胞分类计数
腹水,CT检查
无泪症,泪管显象
先天性声门下狭窄,儿童五官科检查
小儿空鞍综合征,颅脑MRI检查
小儿心肌炎,血清乳酸脱氢酶（LDH）
末梢神经炎,肌电图
小儿神经性厌食,心电图
小棘苔藓,皮肤真菌镜检
阴沟肠杆菌感染,血常规
原发性阴道恶性淋巴瘤,细胞组织化学染色
特发性肺纤维化,呼气流速
镉中毒,大生化检查
老年急性阑尾炎,腹部平片
坏死性龈口炎,口腔X光片检查
酒精中毒,肌电图
伤风,血常规
细菌性肠炎,粪细菌培养
尿路梗阻,尿路平片
椒疮,血常规
肾盂肿瘤,CT检查
双向性室性心动过速,多普勒超声心动图
诺卡放线菌病,细胞组织化学染色
脂肪营养不良,血液检查
老年人肺癌,内镜检查
唇风,皮肤涂片显微镜检查
原发性单克隆免疫球蛋白病,血常规
单心室,胸部平片
糖尿病性肾病,肾小球滤过率（GFR）
成人骨坏死,骨关节及软组织CT检查
老年人急性淋巴细胞白血病,异形淋巴细胞
急性胰腺炎,肠镜
新生儿B链球菌感染,血液及骨髓细菌培养
颌下间隙感染,头面部触诊
特发性急性小管间质性肾炎,尿肌酐（Ucr）
血小板减少性紫癜,骨髓各系细胞形态学检查
婴儿闷热综合症,便常规
腹绞痛综合征,血常规
咽结合膜热,血常规
输卵管妊娠破裂,子宫输卵管造影
毛囊周角化病,皮肤涂片显微镜检查
钩端螺旋体病,钩端螺旋体乳胶凝集试验
骨放线菌病,细菌学检验
急性阑尾炎,血常规
高脂蛋白血症,低密度脂蛋白-胆固醇
血色病,血清总铁结合力
爆震性耳聋,耳鼻咽喉CT检查
血小板促凝活性异常,凝血酶原时间（PT）
眼弓形体病,补体结合试验
听力障碍,心电图
网状青斑,尿常规
小儿胃结块症,尿常规
鼓膜外伤,外耳道
小儿癫痫,颅脑MRI检查
念珠菌阴道炎,阴道分泌物清洁度
原发性高血压,尿常规
小儿早老症,生长激素
尺骨上1/3骨折合并桡骨头脱位,体位
小儿肾上腺皮质功能不全,促肾上腺皮质激素
蚂蚁叮咬,尿常规
鼻息肉,前鼻镜检查
局灶性节段性肾小球硬化,血液检查
黄斑裂孔,眼科检查
跖骨、趾骨骨折,四肢的骨和关节平片
小儿成人型慢性粒细胞白血病,白细胞数
尿布疹,皮肤颜色
老年性心瓣膜病,胸部平片
小肠实热,心电图
家族性载脂蛋白B100缺陷症,血液生化六项检查
小儿腹股沟斜疝,腹部包块
小儿心房颤动,胸部MRI
纵隔脓肿,胸部CT检查
包皮炎,精液检查
甲状腺功能减退症,总三碘甲状腺原氨酸(TT3)
包皮阴茎头炎,男科检查
Friedreich共济失调症,脑电图检查
汗管瘤,皮肤弹性检查
急性腐蚀性胃炎,压痛及反跳痛
小儿脑血管畸形,颅脑MRI检查
萎缩性毛周角化病,细胞组织化学染色
小儿神经性贪食,尿常规
静脉炎,血常规
嗜麦芽黄单胞菌肺炎,胸部CT检查
膀胱憩室,直肠指检
致死性家族性失眠症,血常规
短肠综合征,内镜检查
胸腔积液,体位
无功能垂体腺瘤,孕激素试验
妊娠合并肺栓塞,动脉血气分析
视神经撕脱,眼及眶区CT检查
小儿肝豆状核变性,尿铜
呼吸衰竭,氧分压
胆石症,胆道支架引流（ERBD）
基底核钙化症,血清钙
老年人心脑综合征,核磁共振成像(MRI)
息积,胸部平片
小儿加压素分泌过多综合征,胸部B超
胆道肿瘤,内镜逆行胆胰管造影术
小儿维生素B6缺乏病,脑电图检查
小肠腺癌,剖腹探查
获得性血小板功能障碍,尿6-酮-前列素F1a
发疹性毳毛囊肿,免疫病理检查
遗传性椭圆形红细胞增多症,异常红细胞形态检查
乳头状汗腺腺瘤,免疫病理检查
难产,胎势
窦性组织细胞增生伴巨大淋巴结病,心电图
小儿利斯特菌病,涂片
单心室,心电图
小肠肿瘤,双链酶皮内试验
胸腔积液,狼疮细胞
外阴前庭炎,血常规
脊髓海绵状血管瘤,血管造影
气胸,肺和胸膜触诊
内分泌性高血压,尿17-羟皮质类固醇
蝎螫伤,血液生化六项检查
Wegner肉芽肿伴发的葡萄膜炎,抗中性粒细胞胞浆
卵巢浆液性肿瘤,肿瘤标志物检测
手足徐动性脑瘫,尿常规
中毒性紫癜,红细胞碱粒凝聚试验
心脏神经症,冠状动脉造影
挤奶者结节,扫描电子显微镜
阴冷,阴道妇科常规检查
乳腺脂肪肉瘤,细胞组织化学染色
小儿先天性高氨血症,甘氨酸
新生儿Rh血型不合溶血病,球形红细胞
膝内翻,骨骼触诊
