start,end
结节性甲状腺肿,甲巯咪唑片
虚喘,止咳片
多发性硬化,注射用重组人干扰素β-1b
多发梗塞性痴呆,甲磺酸二氢麦角碱缓释胶囊
老年人乳腺癌,复方斑蝥胶囊
骨骺点状发育不良,醋酸钙颗粒
学习技能发育障碍,吡拉西坦片
肩周炎,洛索洛芬钠胶囊
棘阿米巴性角膜炎,复方硫酸新霉素滴眼液
肾上腺肿瘤,阿魏化痞膏
肺原发性结核性复征,利肺片
乳发,活血解毒丸
小儿急性小脑性共济失调,盐酸赖氨酸葡萄糖注射液
慢性黏膜皮肤念珠菌病,盐酸特比萘芬溶液
酸中毒,仁青芒觉
小儿急性气管支气管炎,盐酸左氧氟沙星胶囊
狼疮肾炎,环孢素软胶囊
皮质性遗忘症,黄芪精
厌氧菌肺炎,注射用头孢曲松钠
婴儿手足搐搦症,枸橼酸钙片
肠侵袭性大肠埃希杆菌感染,司帕沙星分散片
回旋形线状鱼鳞病,尿素软膏
鼻/鼻型T/NK细胞淋巴瘤,醋酸地塞米松片
急性化脓性脑膜炎,注射用氨苄西林钠
抽搐与惊厥,清火栀麦片
痰积,注射用头孢唑林钠
腹型偏头痛综合征,清凉油
胃出血,替普瑞酮胶囊
巨细胞病毒病,诺氟沙星胶囊
痧子,板蓝根滴丸
枕骨大孔脑膜瘤,注射用香菇多糖
言语和语言发育障碍,葡萄糖酸锌颗粒
老年人脑出血,安宫牛黄丸
骨干续连症,阿法骨化醇软胶囊
高脂蛋白血症,肌醇烟酸酯片
混合痔,普济痔疮栓
呼吸道结核病,白及颗粒
荨麻疹,肤痒颗粒
慢性非萎缩性胃炎,胃灵颗粒
外阴硬化性苔藓,复方酮康唑乳膏
无机磷中毒,大月晶丸
哮病,转移因子胶囊
肝胆湿热,甘草酸二铵胶囊
心脾两虚,盐酸美西律片
血管性痴呆,注射用奥拉西坦
睑板腺癌,转移因子注射液
成人多动症,盐酸托莫西汀胶囊
小儿支气管哮喘,氨茶碱片
小儿腺苷脱氨酶缺乏,转移因子注射液
小儿非霍奇金淋巴瘤,埃希
癫痫,细辛脑胶囊
粉碎性骨折,舒筋活血片
慢性骨髓炎,甲磺酸左氧氟沙星片
小儿骨硬化病,双虎肿痛宁
鼻窦气压性创伤,云南花粉片
股骨颈骨折,伤科跌打片
食管良性肿瘤,阿魏化痞膏
老年人再生障碍性贫血,甘露聚糖肽片
肩胛颈及肩胛盂骨折,跌打损伤丸
特发性低促性腺激素性性腺功能减退症,十一酸睾酮胶丸
毛鞘棘皮瘤,盐酸环丙沙星凝胶
二糖酶缺乏症,多糖蛋白片
食积胃病,沙棘颗粒
尼曼－匹克氏病,盐酸硫必利片
环状胰腺,西咪替丁片
链球菌性咽炎,维C银翘片
气性膀胱炎,司帕沙星片
膈肌麻痹,注射用异环磷酰胺
金属引起的口腔黏膜疾病,丁硼乳膏
阴茎硬结症,生力雄丸
慢性疾病的贫血,养血安神片
皮质性遗忘症,脑灵素片
消化不良,四君子颗粒
寰椎骨折脱位,骨折挫伤胶囊
急性细支气管炎,阿奇霉素胶囊
肌膜炎,双氯芬酸钠缓释片
c胰岛功能性β细胞瘤,醋酸奥曲肽注射液
骨外骨肉瘤,注射用转移因子
摩擦黑变病,注射用硫酸长春新碱
跟骨骨髓炎,替硝唑片
半月板损伤,酮洛芬凝胶
肾硬化症,脂脉康胶囊
颈椎双侧关节突关节脱位,骨折挫伤胶囊
慢性淋巴细胞性白血病,苯丁酸氮芥片
小儿散发性甲状腺肿,夏枯草片
急性右侧心力衰竭,卡维地洛片
老年人慢性肾盂肾炎,阿莫西林分散片
卵巢混合性生殖细胞-性索间质肿瘤,消癌平片
Ⅱ型免疫母细胞性淋巴腺病,醋酸地塞米松片
遗精,九味健肾胶囊
小肠腺癌,氟尿嘧啶植入剂
扩张孔,克拉霉素分散片
产碱杆菌肺炎,头孢克肟分散片
副肿瘤性脊髓病,注射用盐酸克林霉素
妊娠合并尿石症,荡石片
昏厥,杞菊地黄丸
漆疮,醋酸氟轻松乳膏
Castleman病,磷霉素钙片
胃肿瘤,复方万年青胶囊
产后风湿,风湿痛药酒
团癣,联苯苄唑乳膏
糖尿病心肌病,消渴灵片
肺放线菌病,注射用美洛西林钠舒巴坦钠
先天性肝内胆管囊状扩张症,麦迪霉素片
血液病,注射用甲氨蝶呤
肝肺综合症,护肝片
盲肠阿米巴肉芽肿,奥硝唑胶囊
外阴平滑肌瘤,注射用盐酸平阳霉素
小肠结肠炎耶尔森菌肠炎,氧氟沙星片
小儿外源性变应性肺泡炎,阿奇霉素片
小儿成骨不全,麝香接骨胶囊
表皮葡萄球菌肺炎,阿奇霉素分散片
手汗症,知柏地黄丸
荨麻疹和血管性水肿,防风通圣丸
获得性免疫缺陷综合征视网膜病变,多糖蛋白片
紧张性头痛,阿司匹林片
股骨头坏死,健骨生丸
脊髓梅毒,三味清热止痒洗剂
胆道蛔虫病与肝蛔虫病,盐酸左旋咪唑片
小儿磷酸酶过少症,注射用胸腺五肽
股骨转子间骨折,骨肽片
迷路炎,头孢氨苄胶囊
流感嗜血杆菌肺炎,头孢克肟颗粒
椎管内转移性肿瘤,复方阿胶补血膏
包茎,马来酸氯苯那敏片
胰腺囊腺癌,注射用盐酸吉西他滨
老年人支原体肺炎,阿奇霉素颗粒
酒精性弱视,夏天无滴眼液
盐敏感性高血压,厄贝沙坦片
子宫纵隔,阿魏化痞膏
输卵管积水,甲苯磺酸妥舒沙星片
五积,补肾益气胶囊
心血管和血栓栓塞综合征,曲克芦丁片
类圆线虫病,吡喹酮片
外阴炎,妇炎平胶囊
过敏性急性小管间质性肾炎,蒺藜药酒
继发性女阴过度角化,阿维A胶囊
桡骨茎突骨折,伤科跌打片
跖趾关节痛,调元大补二十五味汤散
老年性昏迷,氯化钠注射液
移植物抗宿主病,注射用胸腺五肽
急性腹型-高脂血症综合征,消栓通络片
包虫病,阿苯达唑片
老年人食管癌,仙蟾片
癌症伴发的精神障碍,辅酶Q10软胶囊
皮肤发育不良,氢醌乳膏
髂腹股沟神经干痛,去痛片
持续性交接区折返性心动过速,通脉养心丸
髋关节骨关节炎,骨友灵搽剂
特发性血小板减少性紫癜,断血流胶囊
消化系癌伴血液病综合征,复方万年青胶囊
氰化物中毒,地塞米松磷酸钠注射液
火器性颅脑损伤,七厘散
铍中毒,地塞米松磷酸钠注射液
病毒性感冒,酚咖片
散发性脑炎伴发的精神障碍,氟哌啶醇注射液
肝肿瘤,秘诀清凉散
肺炎链球菌败血症,乳酸左氧氟沙星分散片
眼眶骨化纤维瘤,复方阿胶补血膏
甲真菌病,复方酮康唑软膏
过敏性湿疹,肤痒颗粒
大肠恶性淋巴瘤,复方环磷酰胺片
脑外伤,吡拉西坦分散片
肺燥,头孢克肟分散片
肝脏疾病所致贫血,阿胶益寿口服液
颞叶肿瘤,甘油氯化钠注射液
先天性全丙种球蛋白低下血症,地塞米松磷酸钠注射液
复合型酸碱失衡,葡萄糖注射液
闭塞性动脉硬化,曲克芦丁片
小儿变应性亚败血症综合征,甲磺酸左氧氟沙星片
鼻前庭囊肿,鼻炎灵片
中耳炎,头孢丙烯分散片
男性尖锐湿疣,酞丁安乳膏
Kartagener综合征,司帕沙星片
硬化性骨髓炎,盐酸克林霉素棕榈酸酯分散片
原发性皮肤淀粉样变性,头孢拉定分散片
痰积,头孢氨苄胶囊
盆腔淤血综合征,金刚藤口服液
念珠状红苔藓,联苯苄唑乳膏
心房心肌梗死,IV
急性气管－支气管炎,蛇胆川贝液
小儿迪格奥尔格综合征,胸腺肽肠溶片
肱骨外科颈骨折,骨肽片
药物性哮喘,盐酸二氧丙嗪颗粒
溃疡病出血,替硝唑胶囊
青春期功能失调性子宫出血病,复方大红袍止血胶囊
网膜肿瘤,注射用异环磷酰胺
小儿海蓝组织细胞增生症,环孢素口服溶液
阳虚,六味地黄胶囊
先天性性联无γ-球蛋白血症,胸腺五肽注射液
残胃平滑肌肉瘤,复方万年青胶囊
目病,复明胶囊
口周湿疹,三味清热止痒洗剂
椎动脉型颈椎病,藤黄健骨胶囊
恶性黑色素瘤,注射用硫酸长春地辛
热哮,盐酸溴己新片
皮肤过敏,马来酸氯苯那敏片
肠胃型感冒,通宣理肺丸
肾结核,利福喷丁胶囊
手汗症,阿胶牡蛎口服液
微血管病性溶血性贫血,硫唑嘌呤片
颞叶癫痫,珊瑚七十味丸
口唇疱疹,小儿消积止咳口服液
Chance骨折,三七片
产后抑郁症,马来酸氟伏沙明片
小儿急性化脓性甲状腺炎,甲巯咪唑片
小儿自身免疫性淋巴细胞增生综合征,注射用依那西普
妊娠合并哮喘,孟鲁司特钠片
子宫恶性肿瘤,消癌平片
神经母细胞瘤,注射用放线菌素D
疱疹性咽峡炎,利巴韦林含片
新生儿脓疱病,红霉素软膏
老年人缺血性结肠炎,八味锡类散
原发性肠系膜肿瘤,阿魏化痞膏
前列腺囊肿,前列舒乐片
盆底综合征,槐杞黄颗粒
距骨骨折,复方三七胶囊
肠胃型感冒,风油精
颈型颈椎病,骨筋丸胶囊
呼吸机相关性肺炎,头孢拉定分散片
沙眼衣原体肺炎,红霉素肠溶片
放线菌病,复方炉甘石外用散
肺念珠菌病,伊曲康唑胶囊
晶体脱位,七厘散
放射性肺炎,阿奇霉素胶囊
股骨头骨骺骨软骨病,三维鱼肝油乳
躯体感染伴发的精神障碍,奋乃静片
混合血管瘤,鱼肝油酸钠注射液
青年心肌梗死,辛伐他汀片
头皮及颅骨烧伤,维生素C注射液
小儿流感病毒肺炎,头孢泊肟酯胶囊
乳腺囊性增生病,夏枯草膏
阴道嗜血杆菌性阴道炎,龙胆泻肝丸
闭塞性动脉硬化,西洛他唑胶囊
盲肠阿米巴肉芽肿,甲硝唑片
小儿醛固酮过多症,氢氯噻嗪片
儿童白斑,氟轻松维B6乳膏
老年人预激综合征,盐酸胺碘酮胶囊
痒性紫癜,复方芦丁片
大肠腺瘤,复方斑蝥胶囊
色素斑,祛斑调经胶囊
脾-肝综合征,安络化纤丸
老年人缺铁性贫血,小儿硫酸亚铁糖浆
腹膜后感染与脓肿,注射用硫酸奈替米星
高脂蛋白血症Ⅰ型,辛伐他汀胶囊
过敏性眼睑皮肤炎,丙酸氟替卡松乳膏
失用症,盐酸多奈哌齐分散片
甲亢,酒石酸美托洛尔片
克罗恩病,诺氟沙星胶囊
颈肋综合征,骨刺平片
脑血管病,尼莫地平片
血精症,盐酸米诺环素胶囊
球孢子菌病,氟康唑片
小儿惊厥,八宝惊风散
新生儿脓疱疮,夫西地酸乳膏
热性嗜中性白细胞皮肤病,麦迪霉素片
风湿性关节炎,双氯芬酸钠缓释片
脊髓梅毒,依托红霉素混悬液
肢端肥大症性心肌病,左卡尼汀注射液
髌骨不稳定,舒筋活血片
原发性肝癌,蛇莲胶囊
滑囊炎,复方水杨酸甲酯乳膏
乳头炎和乳晕炎,盐酸米诺环素胶囊
新生儿失血性贫血,小儿生血糖浆
膀胱脱垂,金钱草颗粒
项痈,阿奇霉素片
马桑果中毒,仁青芒觉
股癣,曲咪新乳膏
老年人脂肪肝,强肝片
唇病,核黄素磷酸钠注射液
骨折,独一味颗粒
早产儿,天然型
先天性再生障碍性贫血,复方皂矾丸
乳房纤维瘤,小金丸
急性失血所致贫血,八珍益母丸
血栓性浅静脉炎,甲磺酸二氢麦角碱缓释胶囊
外阴毛囊炎,乙酰麦迪霉素干混悬剂
小儿急性胰腺炎,茵山莲颗粒
铋中毒,布美他尼片
单纯红细胞再障性贫血,生血丸
无脑儿,复方乌鳢口服液
小儿惊厥,儿童清热口服液
丛集性头痛,阿司匹林片
霍奇金淋巴瘤,复方环磷酰胺片
侵蚀性葡萄胎,注射用甲氨蝶呤
痛风和高尿酸血症,痛风舒片
小儿肾上腺皮质功能不全,醋酸氢化可的松片
足菌肿,注射用头孢唑林钠
无排卵型功能失调性子宫出血,三七血伤宁胶囊
玻璃体积血,卵磷脂络合碘胶囊
宫颈复发癌,注射用盐酸平阳霉素
脊柱关节炎,骨刺片
胆道运动功能障碍综合征,利胆排石片
新生儿急性肾功能衰竭,呋塞米注射液
心气虚,宁心宝胶囊
外伤后头痛,对乙酰氨基酚口服溶液
病毒性肠炎,SP
钩虫皮炎,咪康唑氯倍他索乳膏
冻疮,复方鱼肝油氧化锌软膏
溃疡性肠炎,炎宁颗粒
虚喘,盐酸丙卡特罗片
胃食管反流病,多潘立酮口腔崩解片
青少年牙周炎,丁硼乳膏
腺性唇炎,核黄素磷酸钠注射液
精神病,复方吡拉西坦脑蛋白水解物片
心动过速性心肌病,苯妥英钠片
牙瘤,注射用盐酸平阳霉素
胫骨髁骨折,鹿瓜多肽注射液
老年人泌尿系结石,十味诃子丸
三焦咳,盐酸二氧丙嗪颗粒
花粉过敏性哮喘,盐酸二氧丙嗪颗粒
瘀证,维生素C咀嚼片
小儿先天性肾病综合征,雷公藤多苷片
尿路真菌感染,头孢拉定分散片
小儿肢端肥大症和垂体性巨人症,醋酸奥曲肽注射液
前庭神经元炎,参茸卫生丸
皮脂缺乏症,复方氟米松软膏
急慢性肝炎,金菌灵胶囊
乳腺导管扩张症,乳癖舒胶囊
胰腺多肽瘤,亚砷酸氯化钠注射液
桡骨干骨折,骨肽片
职业性痤疮,维胺酯维E乳膏
腺样体炎,牛黄解毒丸
食管病,抗癌平丸
骨髓增生异常综合征,重组人粒细胞刺激因子注射液
癫狂病,盐酸舍曲林片
原发性十二指肠恶性淋巴瘤,醋酸泼尼松片
乙酰苯胺类中毒,注射用硫代硫酸钠
肺不张,阿奇霉素胶囊
反应性浆细胞增多症,地塞米松磷酸钠注射液
视神经疾病,眼氨肽注射液
肾硬化症,甘露六烟酯片
痒性紫癜,环孢素软胶囊
肾嗜酸细胞瘤,肿节风胶囊
疫斑热,藻酸双酯钠片
纯红细胞再生障碍,复方皂矾丸
老年人结肠憩室,颠茄片
胆固醇肺炎,头孢氨苄胶囊
感染性心内膜炎肾损害,甲磺酸培氟沙星片
小儿细菌感染性口炎,硫酸锌口服溶液
雷诺病,尼麦角林片
肩袖损伤,盐酸米诺环素胶囊
泌尿道肿瘤,甲苯磺酸索拉非尼片
距骨骨折,接骨七厘片
崩漏,断血流胶囊
心房心肌梗死,盐酸曲美他嗪片
小儿幽门螺杆菌感染,盐酸小檗碱片
虚寒咳嗽,茶碱缓释胶囊
跖骨骨折,接骨续筋片
迷路炎,头孢丙烯分散片
溶血性黄疸,人血白蛋白
输卵管结核,盐酸左氧氟沙星氯化钠注射液
虫咬皮炎,醋酸地塞米松片
β受体亢进症,硝酸异山梨酯片
乳房肿块,乳康片
视网膜下纤维化和葡萄膜炎综合征,眼氨肽注射液
热咳,罗汉果止咳糖浆
口角炎,硝酸咪康唑乳膏
科罗拉多蜱热,咪康唑氯倍他索乳膏
老年人阳性杆菌肺炎,通宣理肺丸
皮肤纤毛囊肿,盐酸左氧氟沙星分散片
鼠咬伤,四环素片
非酒精性脂肪性肝病,强肝胶囊
原发性胆汁性肝硬化,硫唑嘌呤片
腱鞘囊肿,复方倍他米松注射液
小儿汞中毒,大月晶丸
高镁血症,硫唑嘌呤片
扩张孔,头孢氨苄胶囊
死精症,五子衍宗丸
妊高征,地巴唑片
淋巴细胞减少症,注射用硫酸长春新碱
类风湿性关节炎肾损害,氨糖美辛肠溶片
涎腺的未分化癌,甲磺酸阿帕替尼片
枢椎齿突骨折,8-11
小儿骨肉瘤,注射用转移因子
外阴上皮内瘤样病变,复方莪术油栓
羊胡疮,诺氟沙星片
阴茎结核疹,甲硝唑凝胶
老年痴呆,复方吡拉西坦脑蛋白水解物片
肌腱炎,右旋布洛芬口服混悬液
脾虚泄泻,双歧杆菌三联活菌胶囊
强迫型人格障碍,碳酸锂片
遗传性蛋白C缺陷症,肝素钠乳膏
蝶骨脑膜瘤的眼眶病变,苦参碱氯化钠注射液
多发性斑状色素沉着症,氯雷他定胶囊
跖骨、趾骨骨折,接骨七厘片
药物性耳聋,龙胆泻肝丸
溃疡性肠炎,金菊五花茶颗粒
肩胛颈及肩胛盂骨折,双虎肿痛宁
女性尖锐湿疣,酞丁安乳膏
面部播散性粟粒状狼疮,复方倍氯米松樟脑乳膏
骨的原发性淋巴瘤,地塞米松片
小儿溃疡性结肠炎,醋酸甲萘氢醌片
白细胞减少症,参芪十一味颗粒
药物过敏,五维甘草那敏胶囊
无痛性心肌梗死,盐酸普萘洛尔片
新生儿败血症,pH4
支气管炎,氨茶碱片
牙龈瘘管,黄连上清丸
肝脏类癌,消癌平口服液
SARS的胃肠道感染,阿奇霉素分散片
乳腺癌,复方斑蝥胶囊
老年人真性红细胞增多症,三尖杉酯碱注射液
浓缩胆汁综合征,云芝肝泰颗粒
副霍乱,盐酸美他环素片
卵巢小细胞癌,六甲蜜胺胶囊
工业中毒所致的精神障碍,地塞米松磷酸钠注射液
结肠炎,柳氮磺吡啶肠溶片
小儿尤因肉瘤,注射用顺铂
放射性周围神经病,甲钴胺分散片
屈肌腱损伤,依托芬那酯凝胶
颈椎小关节创伤性退变性关节炎,阿司匹林肠溶胶囊
十二指肠类癌,注射用奥沙利铂
小儿食物变态反应,乳酸菌素片
外伤后脑膨出,桂利嗪片
外阴丹毒,阿奇霉素片
致死性家族性失眠症,参茯胶囊
小儿单纯性血尿,肾上腺色腙注射液
尿路真菌感染,乳酸左氧氟沙星片
小儿变应性亚败血症综合征,盐酸克林霉素棕榈酸酯分散片
全身性念珠菌病,伊曲康唑胶囊
非01霍乱弧菌肠炎,乳酸左氧氟沙星片
营养障碍性多发性神经病,小儿生血糖浆
眼肌麻痹性偏头痛,夏桑菊颗粒
低氯性碱中毒,注射用硫代硫酸钠
小儿口腔溃疡,胸腺肽肠溶片
暴发性痤疮,红霉素软膏
霍奇金淋巴瘤,苯丁酸氮芥片
疟疾,柴胡注射液
小儿神经白塞综合征,雷公藤多甙片
眩晕,夏桑菊颗粒
小儿淹溺,参麦注射液
锌缺乏病,复方锌铁钙颗粒
闭经性头痛,清眩片
听小骨创伤,当归龙荟胶囊
新生儿水肿,盐酸甲氯芬酯胶囊
萎缩性毛周角化病,维A酸乳膏
眶底骨折,环孢素滴眼液
脑桥中央髓鞘溶解症,尼麦角林片
腹型偏头痛综合征,愈风宁心滴丸
胆源性急性胰腺炎,醋酸甲萘氢醌片
口腔癌皮肤转移,强力康颗粒
瘢痕疙瘩,积雪苷霜软膏
热哮,化痰平喘片
胫腓骨骨干骨折,伤科跌打丸
皮肤纤毛囊肿,麦迪霉素片
妊娠合并再生障碍性贫血,小牛脾提取物注射液
细菌性阴道炎,乳酸菌阴道胶囊
血友病,注射用重组人凝血因子VIII
慢性筛窦炎,阿奇霉素分散片
肩峰下滑囊炎,双氯芬酸钠肠溶片
产后伤食,奥美拉唑肠溶胶囊
昏厥,归脾合剂
额叶癫痫,普瑞巴林胶囊
病毒性肝炎,八宝丹胶囊
卵巢纤维组织来源肿瘤,消癌平片
外阴丹毒,盐酸左氧氟沙星分散片
巨细胞动脉炎和风湿性多肌痛,关节止痛膏
混合型肾小管性酸中毒,甘露醇注射液
小儿脑性瘫痪,巴氯芬片
单纯性外阴炎,肤芩洗剂
睡眠-觉醒节律障碍,戊酸雌二醇片/雌二醇环丙孕酮片复合包装
西瓦特皮肤异色病,利多卡因氯己定气雾剂
虹膜角膜内皮综合征,妥布霉素滴眼液
脑脓肿,甲硝唑注射液
妇科疾病,黄藤素片
脑真菌性肉芽肿,氯霉素注射液
急性泪腺炎,磺胺醋酰钠滴眼液
螺菌病,金钱草片
周期性动眼神经麻痹,注射用腺苷钴胺
小儿高血压,替米沙坦片
脂性渐进性坏死,积雪苷霜软膏
嗜酸性粒细胞性膀胱炎,加替沙星片
血友病,注射用重组人凝血因子VIIa
尿道肉阜,盐酸左氧氟沙星胶囊
胆道结石,逍遥丸
病理性骨折,舒筋活血胶囊
胆道蛔虫病与肝蛔虫病,乌梅丸
嗜皮菌病,头孢克洛缓释胶囊
肌膜炎,右旋布洛芬口服混悬液
肠郁,TPF
破伤风,红霉素肠溶片
膀胱咳,天蓉益肾合剂
中毒性白内障,牛磺酸滴眼液
炎性肠病性关节炎相关巩膜炎,复方红根草片
多发性骨髓瘤,鲑降钙素注射液
家族性出血性肾炎,萆薢分清丸
多发性内分泌肿瘤综合征Ⅰ型,顺铂注射液
鼻窦炎,克拉霉素分散片
痧气,甲氧氯普胺片
中毒性白内障,麝珠明目滴眼液
皮肤B细胞淋巴样结节型增生,醋酸泼尼松片
前列腺病,4:1分散片
老年人炎症性肠病,苦木注射液
眼眶淋巴管瘤,复方阿胶补血膏
色素性口周红斑,重楼解毒酊
退变性骶髂关节炎,小活络丸
腔隙性脑梗死,脑心通胶囊
新生儿化脓性脑膜炎,巴氯芬片
小儿毛细支气管炎,小儿肺咳颗粒
银屑病关节炎性巩膜炎,氟轻松维B6乳膏
平滑肌肉瘤,注射用依托泊苷
急进性肾小球肾炎,蒺藜药酒
慢性根尖牙周炎,甲硝唑口腔粘贴片
热性荨麻疹,氯雷他定片
沙门氏菌性肺炎,氨苄西林胶囊
老年人糖尿病乳酸性中毒,抗饥消渴片
小儿梅克尔憩室,聚卡波非钙片
小儿阅读障碍,吡拉西坦分散片
胸、腰椎椎体单纯性、楔形压缩骨折,接骨续筋片
丝状疣,溶菌酶肠溶片
湿阻,蛇胆陈皮片
赤丝虬脉,牛磺酸滴眼液
肾血管性高血压,马来酸依那普利片
猛兽伤,虎标万金油
湿疹样癌,己烯雌酚片
慢性胆囊炎,龙胆泻肝丸
色素性化妆品皮炎,哈西奈德乳膏
青少年及小儿卵巢肿瘤,红金消结浓缩丸
原发性肝癌,艾迪注射液
甲状腺功能亢进性心肌病,硫唑嘌呤片
三痹,双氯芬酸钠肠溶片
继发性高血压,清脑降压胶囊
椎体爆裂骨折,阿仑膦酸钠片
长Q-T间期综合征,冠心生脉丸
西瓦特皮肤异色病,复方吲哚美辛酊
颅内占位性病变引起的头痛,去痛片
雅司病,琥乙红霉素片
痰浊头痛,天麻素胶囊
荚膜组织胞浆菌病,伊曲康唑胶囊
前列腺异位,氨甲环酸注射液
黄热病,葡萄糖酸锑钠注射液
肌张力异常,硫唑嘌呤片
原发性十二指肠恶性淋巴瘤,复方斑蝥胶囊
特发性阻塞性细支气管炎伴机化性肺炎,头孢拉定分散片
特发性高嗜酸性细胞综合征,甲磺酸培氟沙星片
皮肤淋巴细胞浸润症,盐酸克林霉素胶囊
盲肠阿米巴肉芽肿,苯酰甲硝唑分散片
热带性肺嗜酸粒细胞浸润症,注射用盐酸头孢替安
重症肌无力样综合征,氢溴酸加兰他敏注射液
盆腔腹膜炎,黄藤素分散片
小儿多动症,地牡宁神口服液
唇病,四维他胶囊
非阵发性窦性心动过速,注射用酒石酸美托洛尔
过敏性荨麻疹,盐酸异丙嗪片
油漆皮炎,咪康唑氯倍他索乳膏
小儿多发性内分泌腺瘤Ⅱ型,对氨基水杨酸钙片
青少年及小儿子宫颈癌,消癌平口服液
老年人扩张型心肌病,三磷酸腺苷二钠注射液
色素性化妆品皮炎,咪康唑氯倍他索乳膏
红眼病,萘敏维滴眼液
风热犯肺,盐酸氨溴索胶囊
淋巴炎,盐酸米诺环素胶囊
疱疹性口腔炎,复方硼砂含漱液
白带异常,抗妇炎胶囊
肛周湿疹,氧化锌软膏
会阴下降综合征,升提胶囊
儿童遗粪症,吡拉西坦胶囊
尿道与阴茎结核,异烟肼片
硬纤维瘤,大活络丸
噤口痢,健胃消食片
过敏性鼻炎,马来酸氯苯那敏片
肠道感染后反应性关节炎,萘普生片
切除术后内疝,参桂理中丸
胃肠疾病,诺氟沙星胶囊
气虚血瘀证,阿奇霉素分散片
肝胆湿热,盐酸左旋咪唑搽剂
慢性细菌性前列腺炎,盐酸左氧氟沙星胶囊
肾动脉闭塞,盐酸沙格雷酯片
掌指关节脱位,跌打丸
距骨后外结节骨折,骨肽片
鼻咽癌,鼻咽灵片
阴囊潮湿,金归洗液
X综合征,复方丹参滴丸
帕金森病,盐酸司来吉兰片
小儿急性偏瘫,银杏叶片
内分泌性肌病,抑亢丸
退变性骶髂关节炎,吲哚美辛肠溶片
悬雍垂过长症,盐酸克林霉素棕榈酸酯分散片
疾病恐怖,盐酸帕罗西汀片
肝著,维生素C片
早期乳腺癌,西黄丸
心房扑动,盐酸索他洛尔片
溃疡病穿孔,陈香露白露片
小儿再发性腹痛,盐酸多西环素胶丸
老年人大肠肿瘤,氟尿嘧啶植入剂
增生性毛根鞘瘤,司帕沙星片
肱骨小头骨折,骨折挫伤胶囊
